region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update,Type
1,AL- BIRMINGHAM,81.98,86,78,118,80.79,86.35,86 [78 - 118],81.98% [80.79% - 86.35%],167,67,536,06-08-2021,projected
2,AL- DOTHAN,80.0,0,0,6,80.0,84.37,0 [0 - 6],80.0% [80.0% - 84.37%],0,0,58,06-08-2021,projected
5,AL- HUNTSVILLE,85.48,53,47,115,81.38,114.57,53 [47 - 115],85.48% [81.38% - 114.57%],103,26,650,06-08-2021,projected
6,AL- MOBILE,82.17,35,32,45,81.16,87.07,35 [32 - 45],82.17% [81.16% - 87.07%],62,33,202,06-08-2021,projected
7,AL- MONTGOMERY,81.68,14,14,22,81.68,86.4,14 [14 - 22],81.68% [81.68% - 86.4%],26,26,99,06-08-2021,projected
9,AL- TUSCALOOSA,80.0,0,0,1,80.0,81.3,0 [0 - 1],80.0% [80.0% - 81.3%],0,0,13,06-08-2021,projected
11,AZ- MESA,85.61,45,41,54,82.53,91.97,45 [41 - 54],85.61% [82.53% - 91.97%],111,50,237,06-08-2021,projected
12,AZ- PHOENIX,83.27,104,94,128,81.45,87.38,104 [94 - 128],83.27% [81.45% - 87.38%],248,110,559,06-08-2021,projected
14,AZ- SUN CITY,82.1,7,6,8,80.99,84.57,7 [6 - 8],82.1% [80.99% - 84.57%],17,8,37,06-08-2021,projected
15,AZ- TUCSON,83.72,42,37,52,81.47,88.84,42 [37 - 52],83.72% [81.47% - 88.84%],94,37,223,06-08-2021,projected
16,AR- FORT SMITH,88.12,56,50,68,83.12,99.44,56 [50 - 68],88.12% [83.12% - 99.44%],104,40,249,06-08-2021,projected
18,AR- JONESBORO,80.0,0,0,2,80.0,83.87,0 [0 - 2],80.0% [80.0% - 83.87%],0,0,35,06-08-2021,projected
19,AR- LITTLE ROCK,92.66,392,352,462,84.37,106.84,392 [352 - 462],92.66% [84.37% - 106.84%],731,252,1549,06-08-2021,projected
21,AR- SPRINGDALE,83.41,15,12,23,80.09,88.8,15 [12 - 23],83.41% [80.09% - 88.8%],36,1,93,06-08-2021,projected
22,AR- TEXARKANA,86.43,35,31,41,81.84,95.31,35 [31 - 41],86.43% [81.84% - 95.31%],63,18,150,06-08-2021,projected
23,CA- ORANGE CO.,80.48,14,12,23,80.0,81.9,14 [12 - 23],80.48% [80.0% - 81.9%],37,0,145,06-08-2021,projected
25,CA- BAKERSFIELD,80.0,0,0,1,80.0,80.58,0 [0 - 1],80.0% [80.0% - 80.58%],0,0,21,06-08-2021,projected
31,CA- CHICO,81.25,0,0,2,80.0,83.28,0 [0 - 2],81.25% [80.0% - 83.28%],8,0,21,06-08-2021,projected
33,CA- CONTRA COSTA CO.,81.5,2,1,4,80.0,82.1,2 [1 - 4],81.5% [80.0% - 82.1%],30,0,42,06-08-2021,projected
