region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update,Type
1,AL- BIRMINGHAM,150.15,3031,2826,3382,121.21,193.48,3031 [2826 - 3382],150.15% [121.21% - 193.48%],5924,3480,9583,05-18-2021,projected
2,AL- DOTHAN,92.88,96,90,109,88.36,101.08,96 [90 - 109],92.88% [88.36% - 101.08%],171,111,280,05-18-2021,projected
5,AL- HUNTSVILLE,91.97,125,117,141,87.23,100.32,125 [117 - 141],91.97% [87.23% - 100.32%],225,136,382,05-18-2021,projected
6,AL- MOBILE,85.04,64,60,74,83.08,87.14,64 [60 - 74],85.04% [83.08% - 87.14%],144,88,204,05-18-2021,projected
7,AL- MONTGOMERY,94.62,130,118,174,87.83,120.36,130 [118 - 174],94.62% [87.83% - 120.36%],226,121,624,05-18-2021,projected
9,AL- TUSCALOOSA,84.21,21,20,25,83.61,86.41,21 [20 - 25],84.21% [83.61% - 86.41%],42,36,64,05-18-2021,projected
11,AZ- MESA,92.27,113,106,129,88.28,101.92,113 [106 - 129],92.27% [88.28% - 101.92%],243,164,434,05-18-2021,projected
12,AZ- PHOENIX,87.01,249,233,288,84.69,92.75,249 [233 - 288],87.01% [84.69% - 92.75%],531,355,966,05-18-2021,projected
14,AZ- SUN CITY,85.06,21,19,23,83.46,89.01,21 [19 - 23],85.06% [83.46% - 89.01%],41,28,73,05-18-2021,projected
15,AZ- TUCSON,83.29,39,36,46,82.18,86.02,39 [36 - 46],83.29% [82.18% - 86.02%],83,55,152,05-18-2021,projected
16,AR- FORT SMITH,80.0,0,0,2,80.0,82.19,0 [0 - 2],80.0% [80.0% - 82.19%],0,0,28,05-18-2021,projected
18,AR- JONESBORO,83.1,14,12,14,83.1,83.1,14 [12 - 14],83.1% [83.1% - 83.1%],28,28,28,05-18-2021,projected
19,AR- LITTLE ROCK,85.34,165,153,188,83.38,89.37,165 [153 - 188],85.34% [83.38% - 89.37%],308,195,541,05-18-2021,projected
21,AR- SPRINGDALE,92.3,56,54,64,89.08,97.88,56 [54 - 64],92.3% [89.08% - 97.88%],130,96,189,05-18-2021,projected
22,AR- TEXARKANA,86.84,42,39,48,84.08,93.47,42 [39 - 48],86.84% [84.08% - 93.47%],67,40,132,05-18-2021,projected
23,CA- ORANGE CO.,80.39,12,10,14,80.17,80.91,12 [10 - 14],80.39% [80.17% - 80.91%],30,13,70,05-18-2021,projected
