region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update,Type
1,AL- BIRMINGHAM,145.98,2839,2627,3258,116.7,191.58,2839 [2627 - 3258],145.98% [116.7% - 191.58%],5572,3099,9423,05-18-2021,projected
2,AL- DOTHAN,96.11,129,120,147,89.19,109.29,129 [120 - 147],96.11% [89.19% - 109.29%],214,122,389,05-18-2021,projected
5,AL- HUNTSVILLE,93.35,147,134,172,86.91,106.06,147 [134 - 172],93.35% [86.91% - 106.06%],251,130,490,05-18-2021,projected
6,AL- MOBILE,84.48,65,60,78,82.66,87.63,65 [60 - 78],84.48% [82.66% - 87.63%],128,76,218,05-18-2021,projected
7,AL- MONTGOMERY,98.56,174,157,243,87.89,139.77,174 [157 - 243],98.56% [87.89% - 139.77%],287,122,924,05-18-2021,projected
9,AL- TUSCALOOSA,84.41,27,24,31,82.81,89.02,27 [24 - 31],84.41% [82.81% - 89.02%],44,28,90,05-18-2021,projected
11,AZ- MESA,90.76,105,97,122,86.46,100.81,105 [97 - 122],90.76% [86.46% - 100.81%],213,128,412,05-18-2021,projected
12,AZ- PHOENIX,86.18,239,220,281,83.64,92.42,239 [220 - 281],86.18% [83.64% - 92.42%],468,276,941,05-18-2021,projected
14,AZ- SUN CITY,84.44,19,17,22,82.72,88.64,19 [17 - 22],84.44% [82.72% - 88.64%],36,22,70,05-18-2021,projected
15,AZ- TUCSON,82.81,35,32,42,81.58,85.86,35 [32 - 42],82.81% [81.58% - 85.86%],71,40,148,05-18-2021,projected
16,AR- FORT SMITH,80.0,0,0,4,80.0,82.03,0 [0 - 4],80.0% [80.0% - 82.03%],0,0,26,05-18-2021,projected
18,AR- JONESBORO,82.88,14,12,14,81.99,82.88,14 [12 - 14],82.88% [81.99% - 82.88%],26,18,26,05-18-2021,projected
