region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
319,NC- WILMINGTON,80.16,0,0,1,80.0,80.41,0 [0 - 1],80.16% [80.0% - 80.41%],2,0,5,03-09-2021
320,NC- WINSTON-SALEM,80.11,7,6,9,80.08,80.3,7 [6 - 9],80.11% [80.08% - 80.3%],4,3,11,03-09-2021
321,ND- BISMARCK,80.0,0,0,9,80.0,83.1,0 [0 - 9],80.0% [80.0% - 83.1%],0,0,26,03-09-2021
322,ND- FARGO MOORHEAD -MN,80.84,23,18,34,80.15,82.12,23 [18 - 34],80.84% [80.15% - 82.12%],17,3,43,03-09-2021
323,ND- GRAND FORKS,80.0,0,0,5,80.0,82.9,0 [0 - 5],80.0% [80.0% - 82.9%],0,0,17,03-09-2021
324,ND- MINOT,80.0,0,0,0,80.0,80.0,0 [0 - 0],80.0% [80.0% - 80.0%],0,0,0,03-09-2021
325,OH- AKRON,80.12,7,6,8,80.08,80.33,7 [6 - 8],80.12% [80.08% - 80.33%],3,2,8,03-09-2021
326,OH- CANTON,80.09,7,6,8,80.09,80.24,7 [6 - 8],80.09% [80.09% - 80.24%],2,2,5,03-09-2021
327,OH- CINCINNATI,80.13,9,8,13,80.08,80.31,9 [8 - 13],80.13% [80.08% - 80.31%],6,4,15,03-09-2021
328,OH- CLEVELAND,80.26,38,34,46,80.1,80.48,38 [34 - 46],80.26% [80.1% - 80.48%],23,9,42,03-09-2021
329,OH- COLUMBUS,80.13,19,17,25,80.03,80.29,19 [17 - 25],80.13% [80.03% - 80.29%],12,3,26,03-09-2021
330,OH- DAYTON,80.06,7,6,7,80.0,80.06,7 [6 - 7],80.06% [80.0% - 80.06%],2,0,2,03-09-2021
331,OH- ELYRIA,80.28,6,5,7,80.0,80.28,6 [5 - 7],80.28% [80.0% - 80.28%],2,0,2,03-09-2021
332,OH- KETTERING,80.17,2,1,3,80.09,80.26,2 [1 - 3],80.17% [80.09% - 80.26%],2,1,3,03-09-2021
334,OH- TOLEDO,80.29,25,23,30,80.12,80.67,25 [23 - 30],80.29% [80.12% - 80.67%],12,5,28,03-09-2021
335,OH- YOUNGSTOWN,80.12,7,6,8,80.04,80.27,7 [6 - 8],80.12% [80.04% - 80.27%],3,1,7,03-09-2021
336,OK- LAWTON,80.0,0,0,1,80.0,80.42,0 [0 - 1],80.0% [80.0% - 80.42%],0,0,3,03-09-2021
339,OK- OKLAHOMA CITY,80.41,55,50,73,80.26,81.31,55 [50 - 73],80.41% [80.26% - 81.31%],27,17,86,03-09-2021
340,OK- TULSA,80.06,7,6,8,80.02,80.12,7 [6 - 8],80.06% [80.02% - 80.12%],3,1,6,03-09-2021
341,OR- BEND,80.0,0,0,0,80.0,80.0,0 [0 - 0],80.0% [80.0% - 80.0%],0,0,0,03-09-2021
342,OR- EUGENE,80.43,11,10,14,80.17,81.28,11 [10 - 14],80.43% [80.17% - 81.28%],5,2,15,03-09-2021
343,OR- MEDFORD,80.52,11,10,14,80.21,81.35,11 [10 - 14],80.52% [80.21% - 81.35%],5,2,13,03-09-2021
344,OR- PORTLAND,80.15,14,13,18,80.1,80.38,14 [13 - 18],80.15% [80.1% - 80.38%],8,5,20,03-09-2021
345,OR- SALEM,80.23,0,0,2,80.23,81.15,0 [0 - 2],80.23% [80.23% - 81.15%],1,1,5,03-09-2021
346,PA- ALLENTOWN,80.22,10,8,13,80.06,80.44,10 [8 - 13],80.22% [80.06% - 80.44%],7,2,14,03-09-2021
347,PA- ALTOONA,80.0,0,0,0,80.0,80.0,0 [0 - 0],80.0% [80.0% - 80.0%],0,0,0,03-09-2021
350,PA- DANVILLE,80.0,0,0,2,80.0,80.46,0 [0 - 2],80.0% [80.0% - 80.46%],0,0,7,03-09-2021
351,PA- ERIE,80.13,7,6,8,80.0,80.31,7 [6 - 8],80.13% [80.0% - 80.31%],3,0,7,03-09-2021
352,PA- HARRISBURG,80.57,20,16,31,80.04,82.01,20 [16 - 31],80.57% [80.04% - 82.01%],13,1,46,03-09-2021
354,PA- JOHNSTOWN,80.0,0,0,0,80.0,80.0,0 [0 - 0],80.0% [80.0% - 80.0%],0,0,0,03-09-2021
355,PA- LANCASTER,80.25,1,0,2,80.08,80.34,1 [0 - 2],80.25% [80.08% - 80.34%],3,1,4,03-09-2021
