region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update,Type
216,LA- METAIRIE,85.74,33,30,38,83.76,88.41,33 [30 - 38],85.74% [83.76% - 88.41%],58,38,85,03-03-2021,projected
217,LA- MONROE,80.43,0,0,2,80.0,80.86,0 [0 - 2],80.43% [80.0% - 80.86%],4,0,8,03-03-2021,projected
218,LA- NEW ORLEANS,82.6,37,35,40,81.81,83.67,37 [35 - 40],82.6% [81.81% - 83.67%],63,44,89,03-03-2021,projected
219,LA- SHREVEPORT,80.88,14,13,19,80.62,82.6,14 [13 - 19],80.88% [80.62% - 82.6%],24,17,71,03-03-2021,projected
220,LA- SLIDELL,88.53,28,27,32,86.15,92.3,28 [27 - 32],88.53% [86.15% - 92.3%],43,31,62,03-03-2021,projected
221,ME- BANGOR,82.66,22,19,32,80.92,89.36,22 [19 - 32],82.66% [80.92% - 89.36%],29,10,102,03-03-2021,projected
222,ME- PORTLAND,81.71,28,26,32,81.33,82.51,28 [26 - 32],81.71% [81.33% - 82.51%],45,35,66,03-03-2021,projected
223,MD- BALTIMORE,83.83,163,155,178,82.8,85.34,163 [155 - 178],83.83% [82.8% - 85.34%],258,189,360,03-03-2021,projected
225,MD- SALISBURY,85.44,27,25,31,83.09,87.26,27 [25 - 31],85.44% [83.09% - 87.26%],51,29,68,03-03-2021,projected
226,MD- TAKOMA PARK,89.4,76,72,83,87.07,92.98,76 [72 - 83],89.4% [87.07% - 92.98%],121,91,167,03-03-2021,projected
227,MA- BOSTON,84.37,293,279,319,83.32,86.04,293 [279 - 319],84.37% [83.32% - 86.04%],480,365,663,03-03-2021,projected
230,MA- SPRINGFIELD,85.43,56,53,60,84.06,87.31,56 [53 - 60],85.43% [84.06% - 87.31%],87,65,117,03-03-2021,projected
231,MA- WORCESTER,84.38,43,41,47,83.35,85.91,43 [41 - 47],84.38% [83.35% - 85.91%],72,55,97,03-03-2021,projected
232,MI- ANN ARBOR,85.18,119,112,135,83.65,87.78,119 [112 - 135],85.18% [83.65% - 87.78%],169,119,254,03-03-2021,projected
233,MI- DEARBORN,83.59,42,40,49,82.25,86.69,42 [40 - 49],83.59% [82.25% - 86.69%],59,37,110,03-03-2021,projected
234,MI- DETROIT,85.8,194,182,224,83.65,90.75,194 [182 - 224],85.8% [83.65% - 90.75%],270,170,501,03-03-2021,projected
235,MI- FLINT,90.26,99,92,115,86.41,98.85,99 [92 - 115],90.26% [86.41% - 98.85%],136,85,250,03-03-2021,projected
236,MI- GRAND RAPIDS,84.76,77,74,86,83.72,87.19,77 [74 - 86],84.76% [83.72% - 87.19%],110,86,166,03-03-2021,projected
238,MI- KALAMAZOO,88.19,86,80,100,84.87,95.91,86 [80 - 100],88.19% [84.87% - 95.91%],121,72,235,03-03-2021,projected
