region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update,Type
1,AL- BIRMINGHAM,84.01,232,211,280,81.71,88.43,232 [211 - 280],84.01% [81.71% - 88.43%],339,144,712,03-03-2021,projected
2,AL- DOTHAN,81.2,14,13,20,80.75,84.59,14 [13 - 20],81.2% [80.75% - 84.59%],16,10,61,03-03-2021,projected
5,AL- HUNTSVILLE,83.4,42,38,53,81.49,87.93,42 [38 - 53],83.4% [81.49% - 87.93%],64,28,149,03-03-2021,projected
6,AL- MOBILE,83.68,70,64,84,82.17,87.32,70 [64 - 84],83.68% [82.17% - 87.32%],105,62,209,03-03-2021,projected
7,AL- MONTGOMERY,82.2,15,13,18,81.03,83.1,15 [13 - 18],82.2% [81.03% - 83.1%],34,16,48,03-03-2021,projected
9,AL- TUSCALOOSA,83.81,23,21,28,81.9,87.31,23 [21 - 28],83.81% [81.9% - 87.31%],38,19,73,03-03-2021,projected
11,AZ- MESA,83.03,31,29,37,81.82,85.51,31 [29 - 37],83.03% [81.82% - 85.51%],60,36,109,03-03-2021,projected
12,AZ- PHOENIX,81.94,86,79,101,81.24,83.84,86 [79 - 101],81.94% [81.24% - 83.84%],147,94,291,03-03-2021,projected
14,AZ- SUN CITY,80.99,7,6,7,80.62,81.73,7 [6 - 7],80.99% [80.62% - 81.73%],8,5,14,03-03-2021,projected
15,AZ- TUCSON,82.14,31,28,36,81.15,83.68,31 [28 - 36],82.14% [81.15% - 83.68%],54,29,93,03-03-2021,projected
16,AR- FORT SMITH,81.17,5,4,8,80.0,81.95,5 [4 - 8],81.17% [80.0% - 81.95%],15,0,25,03-03-2021,projected
18,AR- JONESBORO,80.88,7,6,11,80.0,84.42,7 [6 - 11],80.88% [80.0% - 84.42%],8,0,40,03-03-2021,projected
19,AR- LITTLE ROCK,83.43,134,120,192,81.21,90.91,134 [120 - 192],83.43% [81.21% - 90.91%],198,70,630,03-03-2021,projected
21,AR- SPRINGDALE,85.77,42,38,57,82.84,95.61,42 [38 - 57],85.77% [82.84% - 95.61%],61,30,165,03-03-2021,projected
22,AR- TEXARKANA,83.06,21,19,29,81.33,89.69,21 [19 - 29],83.06% [81.33% - 89.69%],30,13,95,03-03-2021,projected
23,CA- ORANGE CO.,80.5,17,16,20,80.3,80.85,17 [16 - 20],80.5% [80.3% - 80.85%],38,23,65,03-03-2021,projected
25,CA- BAKERSFIELD,80.64,9,8,11,80.33,81.0,9 [8 - 11],80.64% [80.33% - 81.0%],23,12,36,03-03-2021,projected
31,CA- CHICO,80.0,0,0,1,80.0,81.09,0 [0 - 1],80.0% [80.0% - 81.09%],0,0,7,03-03-2021,projected
33,CA- CONTRA COSTA CO.,81.6,17,16,21,80.95,83.15,17 [16 - 21],81.6% [80.95% - 83.15%],32,19,63,03-03-2021,projected
43,CA- FRESNO,81.4,18,16,20,80.83,82.41,18 [16 - 20],81.4% [80.83% - 82.41%],32,19,55,03-03-2021,projected
56,CA- LOS ANGELES,80.71,82,76,91,80.42,81.08,82 [76 - 91],80.71% [80.42% - 81.08%],175,105,268,03-03-2021,projected
58,CA- MODESTO,82.21,20,18,23,81.11,83.72,20 [18 - 23],82.21% [81.11% - 83.72%],38,19,64,03-03-2021,projected
62,CA- NAPA,82.06,7,6,8,80.0,82.92,7 [6 - 8],82.06% [80.0% - 82.92%],12,0,17,03-03-2021,projected
65,CA- ALAMEDA CO.,80.27,7,6,7,80.21,80.5,7 [6 - 7],80.27% [80.21% - 80.5%],9,7,17,03-03-2021,projected
69,CA- PALM SPR/RANCHO MIR.,80.19,0,0,0,80.09,80.28,0 [0 - 0],80.19% [80.09% - 80.28%],2,1,3,03-03-2021,projected
73,CA- REDDING,83.23,22,19,26,81.39,85.18,22 [19 - 26],83.23% [81.39% - 85.18%],35,15,56,03-03-2021,projected
77,CA- SACRAMENTO,81.38,37,33,42,80.79,82.47,37 [33 - 42],81.38% [80.79% - 82.47%],66,38,118,03-03-2021,projected
78,CA- SALINAS,80.88,1,0,2,80.13,80.88,1 [0 - 2],80.88% [80.13% - 80.88%],7,1,7,03-03-2021,projected
79,CA- SAN BERNARDINO,80.54,15,13,17,80.33,80.85,15 [13 - 17],80.54% [80.33% - 80.85%],31,19,49,03-03-2021,projected
80,CA- SAN DIEGO,81.15,40,37,45,80.67,81.83,40 [37 - 45],81.15% [80.67% - 81.83%],81,47,129,03-03-2021,projected
81,CA- SAN FRANCISCO,80.53,14,13,16,80.24,80.91,14 [13 - 16],80.53% [80.24% - 80.91%],27,12,46,03-03-2021,projected
