Name,Region,Confirmed,Deaths,Recovered,Last Update,ID
Maharashtra,India,400651,14463,239755,2020-07-30 03:00:00,140004402
Tamil Nadu,India,234114,3741,172883,2020-07-30 03:00:00,140001938
Delhi,India,133310,3907,118633,2020-07-30 03:00:00,140001944
Karnataka,India,112504,2147,42901,2020-07-30 03:00:00,140004403
Andhra Pradesh,India,120390,1213,55406,2020-07-30 03:00:00,140004401
Uttar Pradesh,India,77334,1530,45807,2020-07-30 03:00:00,140001926
Gujarat,India,59126,2392,43297,2020-07-30 03:00:00,140001927
West Bengal,India,65258,1490,44116,2020-07-30 03:00:00,140001940
Telangana,India,58906,492,43751,2020-07-30 03:00:00,140004405
Rajasthan,India,39780,654,28309,2020-07-30 03:00:00,140001929
Bihar,India,45919,273,30504,2020-07-30 03:00:00,140001937
Haryana,India,33631,413,26420,2020-07-30 03:00:00,140001933
Assam,India,36296,92,27833,2020-07-30 03:00:00,140001939
Madhya Pradesh,India,30134,844,20934,2020-07-30 03:00:00,140001931
Odisha,India,29175,195,18939,2020-07-30 03:00:00,140001936
Kerala,India,21798,69,11365,2020-07-30 03:00:00,140001930
Punjab,India,14946,361,10213,2020-07-30 03:00:00,140001934
Jharkhand,India,9894,99,4061,2020-07-30 03:00:00,140001943
Chhattisgarh,India,8600,50,5636,2020-07-30 03:00:00,140004404
Uttarakhand,India,6866,72,3811,2020-07-30 03:00:00,140001932
Goa,India,5489,39,3784,2020-07-30 03:00:00,140001956
Tripura,India,4503,21,2678,2020-07-30 03:00:00,140001949
Puducherry,India,3177,47,1874,2020-07-30 03:00:00,140001953
Manipur,India,2458,1,1653,2020-07-30 03:00:00,140001942
Himachal Pradesh,India,2403,13,1332,2020-07-30 03:00:00,140001941
Nagaland,India,1513,4,595,2020-07-30 03:00:00,140001950
Arunachal Pradesh,India,1410,3,677,2020-07-30 03:00:00,140002691
Chandigarh,India,978,14,611,2020-07-30 03:00:00,140001945
Dadra and Nagar Haveli,India,1068,2,667,2020-07-30 03:00:00,140001947
Meghalaya,India,784,5,207,2020-07-30 03:00:00,140001952
Sikkim,India,596,1,198,2020-07-30 03:00:00,140001951
Mizoram,India,398,0,215,2020-07-30 03:00:00,140001928
Andaman and Nicobar Islands,India,428,2,201,2020-07-30 03:00:00,140001955
State Unassigned,India,0,0,0,2020-07-30 03:00:00,
Lakshadweep,India,0,0,0,2020-07-30 03:00:00,140001954
