Name,Region,Confirmed,Deaths,Recovered,Last Update,ID
Maharashtra,India,310455,11854,169569,2020-07-20 03:00:00,140004402
Tamil Nadu,India,170693,2481,117915,2020-07-20 03:00:00,140001938
Delhi,India,122793,3628,103134,2020-07-20 03:00:00,140001944
Gujarat,India,48441,2146,34882,2020-07-20 03:00:00,140001927
Karnataka,India,63772,1336,23066,2020-07-20 03:00:00,140004403
Uttar Pradesh,India,49247,1146,29845,2020-07-20 03:00:00,140001926
Telangana,India,45076,415,32438,2020-07-20 03:00:00,140004405
Andhra Pradesh,India,49650,642,22890,2020-07-20 03:00:00,140004401
West Bengal,India,42487,1112,24883,2020-07-20 03:00:00,140001940
Rajasthan,India,29434,559,21730,2020-07-20 03:00:00,140001929
Haryana,India,26164,349,19793,2020-07-20 03:00:00,140001933
Bihar,India,26379,179,16597,2020-07-20 03:00:00,140001937
Madhya Pradesh,India,22600,721,15311,2020-07-20 03:00:00,140001931
Assam,India,24000,62,16024,2020-07-20 03:00:00,140001939
Odisha,India,17437,119,12453,2020-07-20 03:00:00,140001936
Punjab,India,10100,254,6535,2020-07-20 03:00:00,140001934
Kerala,India,12481,43,5370,2020-07-20 03:00:00,140001930
Chhattisgarh,India,5407,24,3775,2020-07-20 03:00:00,140004404
Jharkhand,India,5552,49,2718,2020-07-20 03:00:00,140001943
Uttarakhand,India,4515,52,3116,2020-07-20 03:00:00,140001932
Goa,India,3657,22,2218,2020-07-20 03:00:00,140001956
State Unassigned,India,0,0,0,2020-07-20 03:00:00,
Tripura,India,2891,5,1759,2020-07-20 03:00:00,140001949
Manipur,India,1911,0,1235,2020-07-20 03:00:00,140001942
Puducherry,India,1999,28,1154,2020-07-20 03:00:00,140001953
Himachal Pradesh,India,1521,10,1059,2020-07-20 03:00:00,140001941
Nagaland,India,988,0,445,2020-07-20 03:00:00,140001950
Chandigarh,India,717,12,488,2020-07-20 03:00:00,140001945
Dadra and Nagar Haveli,India,690,2,450,2020-07-20 03:00:00,140001947
Arunachal Pradesh,India,740,3,282,2020-07-20 03:00:00,140002691
