Name,Region,Confirmed,Deaths,Recovered,Last Update,ID
Buenos Aires - Capital Federal,Argentina,311,,,2020-04-01 02:00:00,140003352
Buenos Aires,Argentina,270,,,2020-04-01 02:00:00,140003351
Santa Fe,Argentina,133,,,2020-04-01 02:00:00,140003371
Cordoba,Argentina,95,,,2020-04-01 02:00:00,140003356
Chaco,Argentina,84,,,2020-04-01 02:00:00,140003354
Tierra del Fuego,Argentina,39,,,2020-04-01 02:00:00,140003373
Corrientes,Argentina,20,,,2020-04-01 02:00:00,140003357
Neuquen,Argentina,20,,,2020-04-01 02:00:00,140003365
Tucuman,Argentina,16,,,2020-04-01 02:00:00,140003374
Mendoza,Argentina,15,,,2020-04-01 02:00:00,140003363
Entre Rios,Argentina,13,,,2020-04-01 02:00:00,140003358
Rio Negro,Argentina,9,,,2020-04-01 02:00:00,140003366
Santa Cruz,Argentina,9,,,2020-04-01 02:00:00,140003370
San Luis,Argentina,6,,,2020-04-01 02:00:00,140003369
Jujuy,Argentina,3,,,2020-04-01 02:00:00,140003360
La Pampa,Argentina,3,,,2020-04-01 02:00:00,140003361
Misiones,Argentina,3,,,2020-04-01 02:00:00,140003364
Santiago del Estero,Argentina,2,,,2020-04-01 02:00:00,140003372
La Rioja,Argentina,1,,,2020-04-01 02:00:00,140003362
Salta,Argentina,1,,,2020-04-01 02:00:00,140003367
San Juan,Argentina,1,,,2020-04-01 02:00:00,140003368
Quebec,Canada,4162,,,2020-04-01 02:00:00,140002869
Ontario,Canada,1966,,,2020-04-01 02:00:00,140002875
British Columbia,Canada,1013,,,2020-04-01 02:00:00,140002874
Alberta,Canada,754,,,2020-04-01 02:00:00,140002879
Newfoundland,Canada,152,,,2020-04-01 02:00:00,140002930
Saskatchewan,Canada,184,,,2020-04-01 02:00:00,140002878
Nova Scotia,Canada,147,,,2020-04-01 02:00:00,140002929
Manitoba,Canada,103,,,2020-04-01 02:00:00,140002877
New Brunswick,Canada,70,,,2020-04-01 02:00:00,140002928
Prince Edward Island,Canada,21,,,2020-04-01 02:00:00,140002931
Yukon,Canada,5,,,2020-04-01 02:00:00,140002880
Northwest Territories,Canada,1,,,2020-04-01 02:00:00,140002881
Repatriated CDN,Canada,13,,,2020-04-01 02:00:00,
Arica y Parinacota,Chile,6,,,2020-04-01 02:00:00,140002799
Tarapaca,Chile,10,,,2020-04-01 02:00:00,140002800
Antofagasta,Chile,35,,,2020-04-01 02:00:00,140003347
Atacama,Chile,2,,,2020-04-01 02:00:00,140003339
Coquimbo,Chile,28,,,2020-04-01 02:00:00,140003341
Valparaiso,Chile,115,,,2020-04-01 02:00:00,140003346
Region Metropolitana,Chile,1420,,,2020-04-01 02:00:00,140003345
Libertador General Bernardo O'Higgins,Chile,23,,,2020-04-01 02:00:00,140003348
Maule,Chile,62,,,2020-04-01 02:00:00,140003344
Ñuble,Chile,245,,,2020-04-01 02:00:00,
Biobío,Chile,216,,,2020-04-01 02:00:00,140003340
Araucania,Chile,302,,,2020-04-01 02:00:00,140003338
Los Rios,Chile,58,,,2020-04-01 02:00:00,140003343
Los Lagos,Chile,151,,,2020-04-01 02:00:00,140003342
Aysén,Chile,2,,,2020-04-01 02:00:00,140003349
Magallanes y de la Antarctica,Chile,63,,,2020-04-01 02:00:00,140003350
Baden-Wurttemberg,Germany,14822,,,2020-04-01 02:00:00,140003865
Bavaria,Germany,16925,,,2020-04-01 02:00:00,140003864
Berlin,Germany,2777,,,2020-04-01 02:00:00,140003662
Brandenburg,Germany,1000,,,2020-04-01 02:00:00,140003858
Bremen,Germany,316,,,2020-04-01 02:00:00,140003869
Hamburg,Germany,2290,,,2020-04-01 02:00:00,140003859
Hesse,Germany,3449,,,2020-04-01 02:00:00,140003866
Mecklenburg-Western Pomerania,Germany,417,,,2020-04-01 02:00:00,140003872
Lower Saxony,Germany,4659,,,2020-04-01 02:00:00,140003870
North Rhine-Westphalia,Germany,15969,,,2020-04-01 02:00:00,140003860
Rhineland-Palatinate,Germany,3141,,,2020-04-01 02:00:00,140003868
Saarland,Germany,971,,,2020-04-01 02:00:00,140003861
Saxony,Germany,2163,,,2020-04-01 02:00:00,140003863
Saxony-Anhalt,Germany,779,,,2020-04-01 02:00:00,140003862
Schleswig-Holstein,Germany,1175,,,2020-04-01 02:00:00,140003871
Thuringia,Germany,846,,,2020-04-01 02:00:00,140003867
Attica,Greece,784,,,2020-03-31 18:00:00,140000004
Aegean Islands,Greece,9,,,2020-03-31 18:00:00,
Thrace,Greece,24,,,2020-03-31 18:00:00,
Macedonia,Greece,122,,,2020-03-31 18:00:00,
Epirus,Greece,7,,,2020-03-31 18:00:00,140000010
Thessaly,Greece,14,,,2020-03-31 18:00:00,140000001
Peloponnese,Greece,78,,,2020-03-31 18:00:00,140000006
Dodecanese,Greece,2,,,2020-03-31 18:00:00,
Greece Central,Greece,6,,,2020-03-31 18:00:00,140000011
Crete,Greece,12,,,2020-03-31 18:00:00,140000012
Ionian Islands,Greece,7,,,2020-03-31 18:00:00,140000008
Cyclades,Greece,1,,,2020-03-31 18:00:00,
Undefined Location,Greece,248,,,2020-03-31 18:00:00,
Kerala,India,202,,,2020-03-31 01:00:00,140001930
Maharashtra,India,198,,,2020-03-31 01:00:00,140004402
Delhi,India,87,,,2020-03-31 01:00:00,140001944
Karnataka,India,83,,,2020-03-31 01:00:00,140004403
Uttar Pradesh,India,82,,,2020-03-31 01:00:00,140001926
Telangana,India,71,,,2020-03-31 01:00:00,140004405
Gujarat,India,69,,,2020-03-31 01:00:00,140001927
Tamil Nadu,India,67,,,2020-03-31 01:00:00,140001938
Rajasthan,India,59,,,2020-03-31 01:00:00,140001929
Madhya Pradesh,India,47,,,2020-03-31 01:00:00,140001931
Punjab,India,38,,,2020-03-31 01:00:00,140001934
Haryana,India,36,,,2020-03-31 01:00:00,140001933
Andhra Pradesh,India,23,,,2020-03-31 01:00:00,140004401
West Bengal,India,22,,,2020-03-31 01:00:00,140001940
Bihar,India,15,,,2020-03-31 01:00:00,140001937
Andaman and Nicobar Islands,India,9,,,2020-03-31 01:00:00,140001955
Chandigarh,India,8,,,2020-03-31 01:00:00,140001945
Uttarakhand,India,7,,,2020-03-31 01:00:00,140001932
Chhattisgarh,India,7,,,2020-03-31 01:00:00,140004404
Goa,India,5,,,2020-03-31 01:00:00,140001956
Odisha,India,3,,,2020-03-31 01:00:00,140001936
Himachal Pradesh,India,3,,,2020-03-31 01:00:00,140001941
Puducherry,India,1,,,2020-03-31 01:00:00,140001953
Manipur,India,1,,,2020-03-31 01:00:00,140001942
Mizoram,India,1,,,2020-03-31 01:00:00,140001928
Lima Province,Peru,799,,,2020-04-01 02:00:00,140003304
Loreto,Peru,58,,,2020-04-01 02:00:00,140003877
Callao,Peru,25,,,2020-04-01 02:00:00,140003303
Lambayeque,Peru,30,,,2020-04-01 02:00:00,140003322
Piura,Peru,21,,,2020-04-01 02:00:00,140003323
Cusco,Peru,26,,,2020-04-01 02:00:00,140003315
Arequipa,Peru,26,,,2020-04-01 02:00:00,140003316
Junin,Peru,17,,,2020-04-01 02:00:00,140003311
La Libertad,Peru,19,,,2020-04-01 02:00:00,140003321
Tumbes,Peru,10,,,2020-04-01 02:00:00,140003324
Ancash,Peru,11,,,2020-04-01 02:00:00,140003320
Ica,Peru,5,,,2020-04-01 02:00:00,140003319
Huanuco,Peru,6,,,2020-04-01 02:00:00,140003308
San Martin,Peru,6,,,2020-04-01 02:00:00,140003307
Ayacucho,Peru,1,,,2020-04-01 02:00:00,140003313
Cajamarca,Peru,1,,,2020-04-01 02:00:00,140003310
Madre de Dios,Peru,1,,,2020-04-01 02:00:00,140003875
Pasco,Peru,1,,,2020-04-01 02:00:00,140003309
Tacna,Peru,2,,,2020-04-01 02:00:00,140003317
Acre,Brazil,42,,,2020-04-01 02:00:00,140003873
Amazonas,Brazil,175,,,2020-04-01 02:00:00,140003874
Amapá,Brazil,10,,,2020-04-01 02:00:00,140002759
Pará,Brazil,32,,,2020-04-01 02:00:00,140002744
Rondônia,Brazil,8,,,2020-04-01 02:00:00,140002757
Roraima,Brazil,16,,,2020-04-01 02:00:00,140002758
Tocantins,Brazil,11,,,2020-04-01 02:00:00,140002748
Alagoas,Brazil,18,,,2020-04-01 02:00:00,140002761
Bahia,Brazil,213,,,2020-04-01 02:00:00,140002746
Ceará,Brazil,390,,,2020-04-01 02:00:00,140002745
Maranhão,Brazil,31,,,2020-04-01 02:00:00,140002749
Paraíba,Brazil,17,,,2020-04-01 02:00:00,140002756
Pernambuco,Brazil,87,,,2020-04-01 02:00:00,140002747
Piauí,Brazil,18,,,2020-04-01 02:00:00,140002751
Rio Grande do Norte,Brazil,82,,,2020-04-01 02:00:00,140002750
Sergipe,Brazil,19,,,2020-04-01 02:00:00,140002760
Espírito Santo,Brazil,84,,,2020-04-01 02:00:00,140002754
Minas Gerais,Brazil,275,,,2020-04-01 02:00:00,140002743
Rio de Janeiro,Brazil,708,,,2020-04-01 02:00:00,140002762
São Paulo,Brazil,2339,,,2020-04-01 02:00:00,140002753
Distrito Federal,Brazil,332,,,2020-04-01 02:00:00,140002763
Goiás,Brazil,65,,,2020-04-01 02:00:00,140002742
Mato Grosso do Sul,Brazil,48,,,2020-04-01 02:00:00,140002755
Mato Grosso,Brazil,25,,,2020-04-01 02:00:00,140002752
Paraná,Brazil,179,,,2020-04-01 02:00:00,140003325
Rio Grande do Sul,Brazil,274,,,2020-04-01 02:00:00,140003327
Santa Catarina,Brazil,219,,,2020-04-01 02:00:00,140003326
Bogota,Colombia,390,,,2020-04-01 02:00:00,140004233
Cundinamarca,Colombia,38,,,2020-04-01 02:00:00,140004214
Antioquia,Colombia,101,,,2020-04-01 02:00:00,140004230
Valle del Cauca,Colombia,116,,,2020-04-01 02:00:00,140004235
Bolivar,Colombia,42,,,2020-04-01 02:00:00,140004226
Atlantico,Colombia,33,,,2020-04-01 02:00:00,140004209
Magdalena,Colombia,10,,,2020-04-01 02:00:00,140004225
Cesar,Colombia,11,,,2020-04-01 02:00:00,140004208
Sucre,Colombia,1,,,2020-04-01 02:00:00,140004227
La Guajira,Colombia,1,,,2020-04-01 02:00:00,140004205
Cordoba,Colombia,2,,,2020-04-01 02:00:00,140004228
Norde de Santander,Colombia,19,,,2020-04-01 02:00:00,140004210
Santander,Colombia,11,,,2020-04-01 02:00:00,140004211
Cauca,Colombia,9,,,2020-04-01 02:00:00,140004236
Caldas,Colombia,15,,,2020-04-01 02:00:00,140004206
Risaralda,Colombia,35,,,2020-04-01 02:00:00,140004232
Quindio,Colombia,16,,,2020-04-01 02:00:00,140004207
Huila,Colombia,24,,,2020-04-01 02:00:00,140004217
Tolima,Colombia,9,,,2020-04-01 02:00:00,140004215
Meta,Colombia,11,,,2020-04-01 02:00:00,140004234
Casanare,Colombia,1,,,2020-04-01 02:00:00,140004213
San Andres y Providencia,Colombia,1,,,2020-04-01 02:00:00,140004229
Narino,Colombia,4,,,2020-04-01 02:00:00,140004237
Boyaca,Colombia,6,,,2020-04-01 02:00:00,140004216
