Name,Region,Confirmed,Deaths,Recovered,Last Update,ID
Maharashtra,India,24427,,,2020-05-13 01:00:00,140004402
Gujarat,India,8904,,,2020-05-13 01:00:00,140001927
Tamil Nadu,India,8718,,,2020-05-13 01:00:00,140001938
Delhi,India,7639,,,2020-05-13 01:00:00,140001944
Rajasthan,India,4126,,,2020-05-13 01:00:00,140001929
Madhya Pradesh,India,3986,,,2020-05-13 01:00:00,140001931
Uttar Pradesh,India,3664,,,2020-05-13 01:00:00,140001926
Andhra Pradesh,India,2051,,,2020-05-13 01:00:00,140004401
West Bengal,India,2173,,,2020-05-13 01:00:00,140001940
Punjab,India,1914,,,2020-05-13 01:00:00,140001934
Telangana,India,1326,,,2020-05-13 01:00:00,140004405
Karnataka,India,925,,,2020-05-13 01:00:00,140004403
Haryana,India,780,,,2020-05-13 01:00:00,140001933
Bihar,India,879,,,2020-05-13 01:00:00,140001937
Kerala,India,525,,,2020-05-13 01:00:00,140001930
Odisha,India,437,,,2020-05-13 01:00:00,140001936
Chandigarh,India,187,,,2020-05-13 01:00:00,140001945
Jharkhand,India,172,,,2020-05-13 01:00:00,140001943
Tripura,India,154,,,2020-05-13 01:00:00,140001949
Uttarakhand,India,69,,,2020-05-13 01:00:00,140001932
Assam,India,65,,,2020-05-13 01:00:00,140001939
Chhattisgarh,India,59,,,2020-05-13 01:00:00,140004404
Himachal Pradesh,India,66,,,2020-05-13 01:00:00,140001941
Andaman and Nicobar Islands,India,33,,,2020-05-13 01:00:00,140001955
Meghalaya,India,13,,,2020-05-13 01:00:00,140001952
Puducherry,India,12,,,2020-05-13 01:00:00,140001953
Goa,India,7,,,2020-05-13 01:00:00,140001956
Manipur,India,2,,,2020-05-13 01:00:00,140001942
Mizoram,India,1,,,2020-05-13 01:00:00,140001928
Arunachal Pradesh,India,1,,,2020-05-13 01:00:00,140002691
Dadra and Nagar Haveli,India,1,,,2020-05-13 01:00:00,140001947
Nagaland,India,0,,,2020-05-13 01:00:00,140001950
Daman & Diu,India,0,,,2020-05-13 01:00:00,140001948
Lakshadweep,India,0,,,2020-05-13 01:00:00,140001954
Sikkim,India,0,,,2020-05-13 01:00:00,140001951
British Columbia,Canada,2360,,,2020-05-13 01:00:00,140002874
Alberta,Canada,6345,,,2020-05-13 01:00:00,140002879
Saskatchewan,Canada,573,,,2020-05-13 01:00:00,140002878
Manitoba,Canada,290,,,2020-05-13 01:00:00,140002877
Ontario,Canada,20907,,,2020-05-13 01:00:00,140002875
Quebec,Canada,39225,,,2020-05-13 01:00:00,140002869
Newfoundland,Canada,261,,,2020-05-13 01:00:00,140002930
New Brunswick,Canada,120,,,2020-05-13 01:00:00,140002928
Nova Scotia,Canada,1020,,,2020-05-13 01:00:00,140002929
