region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update,Type
297,NY- BRONX,80.97,14,12,19,80.0,82.6,14 [12 - 19],80.97% [80.0% - 82.6%],35,0,94,05-18-2021,projected
299,NY- BUFFALO,85.2,101,97,106,84.2,86.04,101 [97 - 106],85.2% [84.2% - 86.04%],187,151,217,05-18-2021,projected
300,NY- ELMIRA,83.62,21,19,22,83.34,83.99,21 [19 - 22],83.62% [83.34% - 83.99%],39,36,43,05-18-2021,projected
301,NY- EAST LONG ISLAND,81.08,38,31,49,80.0,82.35,38 [31 - 49],81.08% [80.0% - 82.35%],118,0,257,05-18-2021,projected
304,NY- ROCHESTER,89.66,167,160,178,88.95,92.16,167 [160 - 178],89.66% [88.95% - 92.16%],286,265,360,05-18-2021,projected
307,NY- SYRACUSE,86.34,117,112,129,85.1,89.35,117 [112 - 129],86.34% [85.1% - 89.35%],179,144,264,05-18-2021,projected
308,NY- WHITE PLAINS,80.74,8,6,10,80.03,81.72,8 [6 - 10],80.74% [80.03% - 81.72%],22,1,51,05-18-2021,projected
309,NC- ASHEVILLE,81.38,14,13,25,81.06,83.14,14 [13 - 25],81.38% [81.06% - 83.14%],26,20,59,05-18-2021,projected
311,NC- CHARLOTTE,83.75,108,104,113,83.35,84.11,108 [104 - 113],83.75% [83.35% - 84.11%],217,194,238,05-18-2021,projected
312,NC- DURHAM,82.23,63,59,68,81.84,82.62,63 [59 - 68],82.23% [81.84% - 82.62%],103,85,121,05-18-2021,projected
313,NC- GREENSBORO,83.68,42,40,44,83.29,84.46,42 [40 - 44],83.68% [83.29% - 84.46%],66,59,80,05-18-2021,projected
314,NC- GREENVILLE,83.27,49,47,52,82.87,84.11,49 [47 - 52],83.27% [82.87% - 84.11%],82,72,103,05-18-2021,projected
315,NC- HICKORY,82.81,9,8,10,82.01,82.81,9 [8 - 10],82.81% [82.01% - 82.81%],21,15,21,05-18-2021,projected
318,NC- RALEIGH,85.67,119,114,125,84.98,86.52,119 [114 - 125],85.67% [84.98% - 86.52%],240,211,276,05-18-2021,projected
319,NC- WILMINGTON,82.38,14,14,16,82.22,82.88,14 [14 - 16],82.38% [82.22% - 82.88%],29,27,35,05-18-2021,projected
320,NC- WINSTON-SALEM,82.69,51,49,55,82.28,83.12,51 [49 - 55],82.69% [82.28% - 83.12%],99,84,115,05-18-2021,projected
321,ND- BISMARCK,83.94,16,14,24,82.15,84.89,16 [14 - 24],83.94% [82.15% - 84.89%],33,18,41,05-18-2021,projected
322,ND- FARGO MOORHEAD -MN,81.72,14,14,17,81.43,82.32,14 [14 - 17],81.72% [81.43% - 82.32%],35,29,47,05-18-2021,projected
323,ND- GRAND FORKS,81.36,4,3,5,80.34,81.36,4 [3 - 5],81.36% [80.34% - 81.36%],8,2,8,05-18-2021,projected
324,ND- MINOT,83.57,14,14,15,82.43,83.86,14 [14 - 15],83.57% [82.43% - 83.86%],25,17,27,05-18-2021,projected
325,OH- AKRON,83.38,36,35,38,83.01,83.83,36 [35 - 38],83.38% [83.01% - 83.83%],82,73,93,05-18-2021,projected
326,OH- CANTON,84.21,56,53,58,83.36,85.01,56 [53 - 58],84.21% [83.36% - 85.01%],89,71,106,05-18-2021,projected
327,OH- CINCINNATI,82.25,45,41,52,81.5,82.84,45 [41 - 52],82.25% [81.5% - 82.84%],108,72,136,05-18-2021,projected
328,OH- CLEVELAND,83.06,133,127,140,82.59,83.59,133 [127 - 140],83.06% [82.59% - 83.59%],270,229,317,05-18-2021,projected
329,OH- COLUMBUS,82.24,100,94,111,81.68,83.02,100 [94 - 111],82.24% [81.68% - 83.02%],201,150,270,05-18-2021,projected
330,OH- DAYTON,82.72,43,38,45,81.62,83.03,43 [38 - 45],82.72% [81.62% - 83.03%],89,53,99,05-18-2021,projected
331,OH- ELYRIA,83.86,16,15,17,83.72,84.14,16 [15 - 17],83.86% [83.72% - 84.14%],28,27,30,05-18-2021,projected
332,OH- KETTERING,82.94,19,18,20,82.25,83.37,19 [18 - 20],82.94% [82.25% - 83.37%],34,26,39,05-18-2021,projected
334,OH- TOLEDO,82.53,43,39,49,81.72,83.39,43 [39 - 49],82.53% [81.72% - 83.39%],106,72,142,05-18-2021,projected
335,OH- YOUNGSTOWN,83.08,46,44,50,82.69,83.96,46 [44 - 50],83.08% [82.69% - 83.96%],80,70,103,05-18-2021,projected
