Pittsylvania,Virginia,4,0,0,2020-04-13 18:00:00,51143
Poquoson,Virginia,6,0,0,2020-04-13 18:00:00,51735
Portsmouth,Virginia,54,0,0,2020-04-13 18:00:00,51740
Powhatan,Virginia,5,0,0,2020-04-13 18:00:00,51145
Prince Edward,Virginia,13,0,0,2020-04-13 18:00:00,51147
Prince George,Virginia,27,0,0,2020-04-13 18:00:00,51149
Prince William,Virginia,434,1,0,2020-04-13 18:00:00,51153
Pulaski,Virginia,4,0,0,2020-04-13 18:00:00,51155
Radford,Virginia,1,0,0,2020-04-13 18:00:00,51750
Rappahannock,Virginia,1,0,0,2020-04-13 18:00:00,51157
Richmond,Virginia,5,0,0,2020-04-13 18:00:00,51760
Richmond City,Virginia,167,0,0,2020-04-13 18:00:00,51760
Roanoke,Virginia,18,0,0,2020-04-13 18:00:00,51770
Roanoke City,Virginia,21,0,0,2020-04-13 18:00:00,51770
Rockbridge,Virginia,3,0,0,2020-04-13 18:00:00,51163
Rockingham,Virginia,49,0,0,2020-04-13 18:00:00,51165
Russell,Virginia,1,0,0,2020-04-13 18:00:00,51167
Salem,Virginia,1,0,0,2020-04-13 18:00:00,51775
Scott,Virginia,3,0,0,2020-04-13 18:00:00,51169
Shenandoah,Virginia,17,0,0,2020-04-13 18:00:00,51171
Smyth,Virginia,11,0,0,2020-04-13 18:00:00,51173
Southampton,Virginia,5,0,0,2020-04-13 18:00:00,51175
Spotsylvania,Virginia,51,0,0,2020-04-13 18:00:00,51177
Stafford,Virginia,87,0,0,2020-04-13 18:00:00,51179
Staunton,Virginia,2,0,0,2020-04-13 18:00:00,51790
Suffolk,Virginia,51,0,0,2020-04-13 18:00:00,51800
Surry,Virginia,3,0,0,2020-04-13 18:00:00,51181
Sussex,Virginia,8,0,0,2020-04-13 18:00:00,51183
Tazewell,Virginia,4,0,0,2020-04-13 18:00:00,51185
Virginia Beach,Virginia,251,1,2,2020-04-13 18:00:00,51810
Warren,Virginia,17,0,0,2020-04-13 18:00:00,51187
Washington,Virginia,28,0,0,2020-04-13 18:00:00,51191
Waynesboro,Virginia,6,0,0,2020-04-13 18:00:00,51820
Westmoreland,Virginia,8,0,0,2020-04-13 18:00:00,51193
Williamsburg,Virginia,20,1,0,2020-04-13 18:00:00,51830
Winchester,Virginia,20,0,0,2020-04-13 18:00:00,51840
Wise,Virginia,13,0,0,2020-04-13 18:00:00,51195
Wythe,Virginia,7,0,0,2020-04-13 18:00:00,51197
York,Virginia,33,1,0,2020-04-13 18:00:00,51199
