region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
356,PA- PHILADELPHIA,80.34,83,75,97,80.12,80.69,83 [75 - 97],80.34% [80.12% - 80.69%],42,15,86,02-16-2021
357,PA- PITTSBURGH,80.16,42,37,51,80.05,80.38,42 [37 - 51],80.16% [80.05% - 80.38%],19,6,44,02-16-2021
358,PA- READING,80.21,2,1,3,80.0,80.21,2 [1 - 3],80.21% [80.0% - 80.21%],3,0,3,02-16-2021
359,PA- SAYRE,80.0,0,0,0,80.0,80.0,0 [0 - 0],80.0% [80.0% - 80.0%],0,0,0,02-16-2021
360,PA- SCRANTON,80.34,7,6,9,80.23,80.91,7 [6 - 9],80.34% [80.23% - 80.91%],3,2,8,02-16-2021
362,PA- WILKES-BARRE,80.31,1,0,2,80.0,80.31,1 [0 - 2],80.31% [80.0% - 80.31%],2,0,2,02-16-2021
363,PA- YORK,80.24,7,6,8,80.0,80.72,7 [6 - 8],80.24% [80.0% - 80.72%],2,0,6,02-16-2021
364,RI- PROVIDENCE,80.19,14,12,15,80.03,80.29,14 [12 - 15],80.19% [80.03% - 80.29%],6,1,9,02-16-2021
365,SC- CHARLESTON,81.11,68,62,77,80.5,81.98,68 [62 - 77],81.11% [80.5% - 81.98%],33,15,59,02-16-2021
366,SC- COLUMBIA,80.77,61,54,70,80.29,81.49,61 [54 - 70],80.77% [80.29% - 81.49%],29,11,56,02-16-2021
367,SC- FLORENCE,80.75,19,17,22,80.15,81.34,19 [17 - 22],80.75% [80.15% - 81.34%],10,2,18,02-16-2021
368,SC- GREENVILLE,80.46,22,19,26,80.17,80.84,22 [19 - 26],80.46% [80.17% - 80.84%],11,4,20,02-16-2021
369,SC- SPARTANBURG,80.57,8,6,10,80.09,80.94,8 [6 - 10],80.57% [80.09% - 80.94%],6,1,10,02-16-2021
370,SD- RAPID CITY,80.0,0,0,3,80.0,81.45,0 [0 - 3],80.0% [80.0% - 81.45%],0,0,10,02-16-2021
371,SD- SIOUX FALLS,80.58,35,32,52,80.25,82.31,35 [32 - 52],80.58% [80.25% - 82.31%],16,7,64,02-16-2021
373,TN- CHATTANOOGA,80.71,30,27,36,80.36,81.47,30 [27 - 36],80.71% [80.36% - 81.47%],16,8,33,02-16-2021
374,TN- JACKSON,80.89,28,25,31,80.3,81.63,28 [25 - 31],80.89% [80.3% - 81.63%],12,4,22,02-16-2021
375,TN- JOHNSON CITY,81.81,31,28,34,80.85,82.55,31 [28 - 34],81.81% [80.85% - 82.55%],17,8,24,02-16-2021
376,TN- KINGSPORT,80.1,7,6,7,80.0,80.2,7 [6 - 7],80.1% [80.0% - 80.2%],2,0,4,02-16-2021
377,TN- KNOXVILLE,81.58,145,133,162,80.74,82.85,145 [133 - 162],81.58% [80.74% - 82.85%],66,31,119,02-16-2021
379,TN- MEMPHIS,80.51,70,63,78,80.21,80.89,70 [63 - 78],80.51% [80.21% - 80.89%],32,13,56,02-16-2021
380,TN- NASHVILLE,81.78,320,293,359,80.89,83.18,320 [293 - 359],81.78% [80.89% - 83.18%],152,76,272,02-16-2021
382,TX- ABILENE,81.13,24,20,29,80.3,82.18,24 [20 - 29],81.13% [80.3% - 82.18%],15,4,29,02-16-2021
