region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
1,AL- BIRMINGHAM,80.98,70,64,86,80.41,82.46,70 [64 - 86],80.98% [80.41% - 82.46%],83,35,208,02-16-2021
2,AL- DOTHAN,80.6,7,6,9,80.0,81.36,7 [6 - 9],80.6% [80.0% - 81.36%],8,0,18,02-16-2021
5,AL- HUNTSVILLE,82.13,35,32,40,80.85,84.04,35 [32 - 40],82.13% [80.85% - 84.04%],40,16,76,02-16-2021
6,AL- MOBILE,81.58,37,33,43,80.56,83.19,37 [33 - 43],81.58% [80.56% - 83.19%],45,16,91,02-16-2021
7,AL- MONTGOMERY,82.26,18,15,23,80.65,83.56,18 [15 - 23],82.26% [80.65% - 83.56%],35,10,55,02-16-2021
9,AL- TUSCALOOSA,81.5,14,13,17,80.7,83.41,14 [13 - 17],81.5% [80.7% - 83.41%],15,7,34,02-16-2021
11,AZ- MESA,82.02,31,28,37,80.81,84.04,31 [28 - 37],82.02% [80.81% - 84.04%],40,16,80,02-16-2021
12,AZ- PHOENIX,81.2,66,59,79,80.4,82.39,66 [59 - 79],81.2% [80.4% - 82.39%],91,30,181,02-16-2021
14,AZ- SUN CITY,80.86,7,6,8,80.37,81.73,7 [6 - 8],80.86% [80.37% - 81.73%],7,3,14,02-16-2021
15,AZ- TUCSON,80.67,14,13,17,80.24,81.62,14 [13 - 17],80.67% [80.24% - 81.62%],17,6,41,02-16-2021
16,AR- FORT SMITH,82.19,21,18,23,80.0,82.89,21 [18 - 23],82.19% [80.0% - 82.89%],28,0,37,02-16-2021
18,AR- JONESBORO,80.0,0,0,1,80.0,80.66,0 [0 - 1],80.0% [80.0% - 80.66%],0,0,6,02-16-2021
19,AR- LITTLE ROCK,81.09,49,44,58,80.29,82.04,49 [44 - 58],81.09% [80.29% - 82.04%],63,17,118,02-16-2021
21,AR- SPRINGDALE,81.7,14,13,17,80.95,83.41,14 [13 - 17],81.7% [80.95% - 83.41%],18,10,36,02-16-2021
22,AR- TEXARKANA,84.08,36,32,43,81.73,88.37,36 [32 - 43],84.08% [81.73% - 88.37%],40,17,82,02-16-2021
23,CA- ORANGE CO.,80.94,56,51,62,80.43,81.46,56 [51 - 62],80.94% [80.43% - 81.46%],72,33,112,02-16-2021
25,CA- BAKERSFIELD,81.52,42,38,46,80.64,82.41,42 [38 - 46],81.52% [80.64% - 82.41%],55,23,87,02-16-2021
31,CA- CHICO,80.78,7,6,8,80.0,81.72,7 [6 - 8],80.78% [80.0% - 81.72%],5,0,11,02-16-2021
33,CA- CONTRA COSTA CO.,81.1,21,19,22,80.4,81.7,21 [19 - 22],81.1% [80.4% - 81.7%],22,8,34,02-16-2021
43,CA- FRESNO,80.61,7,6,9,80.18,81.14,7 [6 - 9],80.61% [80.18% - 81.14%],14,4,26,02-16-2021
56,CA- LOS ANGELES,80.34,57,51,67,80.12,80.66,57 [51 - 67],80.34% [80.12% - 80.66%],85,29,164,02-16-2021
58,CA- MODESTO,82.09,28,25,32,80.87,83.37,28 [25 - 32],82.09% [80.87% - 83.37%],36,15,58,02-16-2021
62,CA- NAPA,81.72,7,6,9,80.0,83.44,7 [6 - 9],81.72% [80.0% - 83.44%],10,0,20,02-16-2021
65,CA- ALAMEDA CO.,80.71,21,19,23,80.3,81.21,21 [19 - 23],80.71% [80.3% - 81.21%],24,10,41,02-16-2021
69,CA- PALM SPR/RANCHO MIR.,80.19,0,0,1,80.09,80.47,0 [0 - 1],80.19% [80.09% - 80.47%],2,1,5,02-16-2021
73,CA- REDDING,82.13,21,19,24,80.74,83.88,21 [19 - 24],82.13% [80.74% - 83.88%],23,8,42,02-16-2021
77,CA- SACRAMENTO,81.17,49,44,55,80.42,82.11,49 [44 - 55],81.17% [80.42% - 82.11%],56,20,101,02-16-2021
78,CA- SALINAS,81.26,7,7,8,80.63,82.14,7 [7 - 8],81.26% [80.63% - 82.14%],10,5,17,02-16-2021
79,CA- SAN BERNARDINO,80.38,14,13,17,80.14,80.73,14 [13 - 17],80.38% [80.14% - 80.73%],22,8,42,02-16-2021
80,CA- SAN DIEGO,80.95,51,46,57,80.38,81.58,51 [46 - 57],80.95% [80.38% - 81.58%],67,27,111,02-16-2021
81,CA- SAN FRANCISCO,80.71,28,25,31,80.34,81.06,28 [25 - 31],80.71% [80.34% - 81.06%],36,17,54,02-16-2021
82,CA- SAN JOSE,80.76,21,19,23,80.3,81.39,21 [19 - 23],80.76% [80.3% - 81.39%],23,9,42,02-16-2021
83,CA- SAN LUIS OBISPO,81.1,1,0,2,80.0,81.1,1 [0 - 2],81.1% [80.0% - 81.1%],5,0,5,02-16-2021
85,CA- SAN MATEO CO.,80.45,7,7,8,80.22,80.82,7 [7 - 8],80.45% [80.22% - 80.82%],12,6,22,02-16-2021
86,CA- SANTA BARBARA,81.04,7,7,9,80.52,82.07,7 [7 - 9],81.04% [80.52% - 82.07%],10,5,20,02-16-2021
87,CA- SANTA CRUZ,81.39,7,6,7,80.0,81.67,7 [6 - 7],81.39% [80.0% - 81.67%],5,0,6,02-16-2021
89,CA- SANTA ROSA,80.27,7,6,7,80.0,80.27,7 [6 - 7],80.27% [80.0% - 80.27%],5,0,5,02-16-2021
