Name,Region,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Last Update,FIPS/ID,Recovered,newRecovered,Active,newActive
Hubei,Mainland China,68135,0,4512,0,63623,0,0,0,2020-07-08 03:00:00,CHN,63623,0,0,0
Guangdong,Mainland China,1645,4,8,0,1631,4,6,0,2020-07-08 03:00:00,CHN,1631,4,6,0
Henan,Mainland China,1276,0,22,0,1254,0,0,0,2020-07-08 03:00:00,CHN,1254,0,0,0
Zhejiang,Mainland China,1269,0,1,0,1267,0,1,0,2020-07-08 03:00:00,CHN,1267,0,1,0
Hunan,Mainland China,1019,0,4,0,1015,0,0,0,2020-07-08 03:00:00,CHN,1015,0,0,0
Anhui,Mainland China,991,0,6,0,985,0,0,0,2020-07-08 03:00:00,CHN,985,0,0,0
Heilongjiang,Mainland China,947,0,13,0,934,0,0,0,2020-07-08 03:00:00,CHN,934,0,0,0
Jiangxi,Mainland China,932,0,1,0,931,0,0,0,2020-07-08 03:00:00,CHN,931,0,0,0
Beijing,Mainland China,929,10,9,0,613,27,307,-17,2020-07-08 03:00:00,CHN,613,27,307,-17
Shandong,Mainland China,792,0,7,0,785,0,0,0,2020-07-08 03:00:00,CHN,785,0,0,0
Shanghai,Mainland China,718,6,7,0,688,13,23,-7,2020-07-08 03:00:00,CHN,688,13,23,-7
Jiangsu,Mainland China,654,0,0,0,654,1,0,-1,2020-07-08 03:00:00,CHN,654,1,0,-1
Sichuan,Mainland China,598,3,3,0,583,5,12,-2,2020-07-08 03:00:00,CHN,581,3,14,0
Chongqing,Mainland China,582,0,6,0,574,1,2,-1,2020-07-08 03:00:00,CHN,574,1,2,-1
Fujian,Mainland China,363,0,1,0,361,4,1,-4,2020-07-08 03:00:00,CHN,360,3,2,-3
Hebei,Mainland China,349,0,6,0,337,3,6,-3,2020-07-08 03:00:00,CHN,337,3,6,-3
Shaanxi,Mainland China,321,1,3,0,313,5,5,-4,2020-07-08 03:00:00,CHN,313,5,5,-4
Guangxi,Mainland China,254,0,2,0,252,0,0,0,2020-07-08 03:00:00,CHN,252,0,0,0
Nei Mongol,Mainland China,244,6,1,0,237,0,6,6,2020-07-08 03:00:00,CHN,237,0,6,6
Tianjin,Mainland China,199,1,3,0,194,0,2,1,2020-07-08 03:00:00,CHN,194,0,2,1
Shanxi,Mainland China,199,1,0,0,198,0,1,1,2020-07-08 03:00:00,CHN,198,0,1,1
Yunnan,Mainland China,187,2,2,0,183,0,2,2,2020-07-08 03:00:00,CHN,183,0,2,2
Hainan,Mainland China,171,0,6,0,165,0,0,0,2020-07-08 03:00:00,CHN,165,0,0,0
Gansu,Mainland China,167,3,2,0,159,16,6,-13,2020-07-08 03:00:00,CHN,159,16,6,-13
Liaoning,Mainland China,159,4,2,0,151,4,6,0,2020-07-08 03:00:00,CHN,150,3,7,1
Jilin,Mainland China,155,0,2,0,153,0,0,0,2020-07-08 03:00:00,CHN,153,0,0,0
