Name,Region,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Last Update,FIPS/ID,Recovered,newRecovered,Active,newActive
Hubei,Mainland China,68135,0,4512,0,63623,0,0,0,2020-08-10 03:00:00,CHN,63623,0,0,0
Guangdong,Mainland China,1672,0,8,0,1646,0,18,0,2020-08-10 03:00:00,CHN,1645,0,19,0
Henan,Mainland China,1276,0,22,0,1254,0,0,0,2020-08-10 03:00:00,CHN,1254,0,0,0
Zhejiang,Mainland China,1270,0,1,0,1268,0,1,0,2020-08-10 03:00:00,CHN,1268,0,1,0
Hunan,Mainland China,1019,0,4,0,1015,0,0,0,2020-08-10 03:00:00,CHN,1015,0,0,0
Anhui,Mainland China,991,0,6,0,985,0,0,0,2020-08-10 03:00:00,CHN,985,0,0,0
Heilongjiang,Mainland China,947,0,13,0,934,0,0,0,2020-08-10 03:00:00,CHN,934,0,0,0
Jiangxi,Mainland China,932,0,1,0,931,0,0,0,2020-08-10 03:00:00,CHN,931,0,0,0
Beijing,Mainland China,929,0,9,0,902,0,18,0,2020-08-10 03:00:00,CHN,881,0,39,0
Shandong,Mainland China,799,0,7,0,788,0,4,0,2020-08-10 03:00:00,CHN,785,0,7,0
Shanghai,Mainland China,741,0,7,0,717,0,17,0,2020-08-10 03:00:00,CHN,717,0,17,0
Jiangsu,Mainland China,655,0,0,0,654,0,1,0,2020-08-10 03:00:00,CHN,654,0,1,0
Sichuan,Mainland China,604,0,3,0,595,0,6,0,2020-08-10 03:00:00,CHN,594,0,7,0
Chongqing,Mainland China,583,0,6,0,576,0,1,0,2020-08-10 03:00:00,CHN,576,0,1,0
Fujian,Mainland China,366,0,1,0,362,0,3,0,2020-08-10 03:00:00,CHN,361,0,4,0
Hebei,Mainland China,349,0,6,0,343,0,0,0,2020-08-10 03:00:00,CHN,343,0,0,0
Shaanxi,Mainland China,323,0,3,0,318,0,2,0,2020-08-10 03:00:00,CHN,318,0,2,0
Guangxi,Mainland China,255,0,2,0,252,0,1,0,2020-08-10 03:00:00,CHN,252,0,1,0
Xinjiang Uygur,Mainland China,254,0,3,0,86,0,165,0,2020-08-10 03:00:00,CHN,73,0,178,0
Nei Mongol,Mainland China,249,0,1,0,246,0,2,0,2020-08-10 03:00:00,CHN,237,0,11,0
Tianjin,Mainland China,204,0,3,0,198,0,3,0,2020-08-10 03:00:00,CHN,195,0,6,0
Liaoning,Mainland China,203,0,2,0,160,0,41,0,2020-08-10 03:00:00,CHN,160,0,41,0
Shanxi,Mainland China,201,0,0,0,200,0,1,0,2020-08-10 03:00:00,CHN,200,0,1,0
Yunnan,Mainland China,189,0,2,0,186,0,1,0,2020-08-10 03:00:00,CHN,186,0,1,0
Hainan,Mainland China,171,0,6,0,165,0,0,0,2020-08-10 03:00:00,CHN,165,0,0,0
Gansu,Mainland China,167,0,2,0,165,0,0,0,2020-08-10 03:00:00,CHN,165,0,0,0
Jilin,Mainland China,157,0,2,0,153,0,2,0,2020-08-10 03:00:00,CHN,153,0,2,0
Guizhou,Mainland China,147,0,2,0,145,0,0,0,2020-08-10 03:00:00,CHN,145,0,0,0
Ningxia,Mainland China,75,0,0,0,75,0,0,0,2020-08-10 03:00:00,CHN,75,0,0,0
Qinghai,Mainland China,18,0,0,0,18,0,0,0,2020-08-10 03:00:00,CHN,18,0,0,0
Xizang,Mainland China,1,0,0,0,1,0,0,0,2020-08-10 03:00:00,CHN,1,0,0,0
Brazil,Brazil,3035582,22213,101136,593,2187455,23511,746991,-1891,2020-08-10 03:00:00,BRA,2118460,24167,815986,-2547
Russia,Russia,887536,5189,14931,77,776706,5858,95899,-746,2020-08-10 03:00:00,RUS,693422,3215,179183,1897
South Africa,South Africa,559859,6671,10408,198,411474,6906,137977,-433,2020-08-10 03:00:00,ZAF,411474,6906,137977,-433
Peru,Peru,478024,7012,24622,266,342740,841,110662,5905,2020-08-10 03:00:00,PER,324020,4849,129382,1897
Mexico,Mexico,480278,4376,52298,292,322465,3827,105515,257,2020-08-10 03:00:00,MEX,322465,3827,105515,257
Colombia,Colombia,387481,10611,12842,302,213608,6966,161031,3343,2020-08-10 03:00:00,COL,212688,8097,161951,2212
Chile,Chile,373056,2033,10077,66,345826,1693,17153,274,2020-08-10 03:00:00,CHL,345826,1693,17153,274
Iran,Iran,326712,2020,18427,163,284371,2249,23914,-392,2020-08-10 03:00:00,IRN,284371,2249,23914,-392
Spain,Spain,314362,0,28503,0,240256,61,45603,-61,2020-08-10 03:00:00,ESP,150376,0,135483,0
United Kingdom,United Kingdom,310825,1062,46574,8,252063,732,12188,322,2020-08-10 03:00:00,GBR,,,,
Saudi Arabia,Saudi Arabia,288690,1428,3167,37,254699,2149,30824,-758,2020-08-10 03:00:00,SAU,252039,1599,33484,-208
Pakistan,Pakistan,284121,634,6082,14,260248,644,17791,-24,2020-08-10 03:00:00,PAK,260248,644,17791,-24
Bangladesh,Bangladesh,257600,2487,3399,34,210204,2358,43997,95,2020-08-10 03:00:00,BGD,148370,1766,105831,687
Italy,Italy,250566,463,35205,2,210194,245,5167,216,2020-08-10 03:00:00,ITA,202098,151,13263,310
Argentina,Argentina,246486,4688,4606,83,143939,8189,97941,-3584,2020-08-10 03:00:00,ARG,108229,0,133651,4605
Turkey,Turkey,240804,1182,5844,15,223759,1103,11201,64,2020-08-10 03:00:00,TUR,223759,1103,11201,64
Germany,Germany,217281,385,9260,1,195936,367,12085,17,2020-08-10 03:00:00,DEU,193999,0,14022,384
France,France,197921,0,30324,0,147955,0,19642,0,2020-08-10 03:00:00,FRA,82836,0,84761,0
Iraq,Iraq,150115,2726,5392,82,107775,2271,36948,373,2020-08-10 03:00:00,IRQ,107775,2271,36948,373
Philippines,Philippines,129913,3028,2270,61,72256,1621,55387,1346,2020-08-10 03:00:00,PHL,67673,556,59970,2411
Indonesia,Indonesia,125396,1893,5723,65,87585,1439,32088,389,2020-08-10 03:00:00,IDN,80952,1646,38721,182
Qatar,Qatar,112947,297,184,2,109709,271,3054,24,2020-08-10 03:00:00,QAT,109709,271,3054,24
Kazakhstan,Kazakhstan,109939,0,1109,0,74642,1536,34188,-1536,2020-08-10 03:00:00,KAZ,72273,664,36557,-664
Egypt,Egypt,95492,178,5009,17,84182,563,6301,-402,2020-08-10 03:00:00,EGY,52678,1006,37805,-845
Ecuador,Ecuador,94459,887,5922,6,71670,65,16867,816,2020-08-10 03:00:00,ECU,71605,0,16932,881
Bolivia,Bolivia,89055,1164,3687,163,59900,1745,25468,-744,2020-08-10 03:00:00,BOL,28904,765,56464,236
