Name,Region,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Last Update,FIPS/ID,Recovered,newRecovered,Active,newActive
Hebei,Mainland China,318,0,6,0,297,3,15,-3,2020-03-03 03:00:00,CHN,297,3,15,-3
Fujian,Mainland China,296,0,1,0,260,4,35,-4,2020-03-03 03:00:00,CHN,255,8,40,-8
Guangxi,Mainland China,252,0,2,0,213,5,37,-5,2020-03-03 03:00:00,CHN,202,14,48,-14
Shaanxi,Mainland China,245,0,1,0,216,7,28,-7,2020-03-03 03:00:00,CHN,216,7,28,-7
Yunnan,Mainland China,174,0,2,0,168,0,4,0,2020-03-02 03:00:00,CHN,168,0,4,0
Hainan,Mainland China,168,0,5,0,151,0,12,0,2020-03-02 03:00:00,CHN,151,0,12,0
Guizhou,Mainland China,146,0,2,0,124,2,20,-2,2020-03-02 03:00:00,CHN,114,0,30,0
Tianjin,Mainland China,136,0,3,0,118,7,15,-7,2020-03-03 02:00:00,CHN,118,7,15,-7
Shanxi,Mainland China,133,0,0,0,119,3,14,-3,2020-03-03 03:00:00,CHN,119,3,14,-3
Liaoning,Mainland China,125,3,1,0,107,1,17,2,2020-03-03 03:00:00,CHN,103,0,21,3
Hong Kong,Hong Kong,100,2,2,0,48,2,50,0,2020-03-03 03:00:00,HKG,36,0,62,2
Jilin,Mainland China,93,0,1,0,83,5,9,-5,2020-03-03 03:00:00,CHN,83,5,9,-5
Gansu,Mainland China,91,0,2,0,85,1,4,-1,2020-03-03 16:00:00,CHN,85,1,4,-1
Xinjiang Uygur,Mainland China,76,0,3,0,67,3,6,-3,2020-03-03 03:00:00,CHN,67,3,6,-3
Nei Mongol,Mainland China,75,0,0,0,63,1,12,-1,2020-03-03 03:00:00,CHN,54,3,21,-3
Ningxia,Mainland China,74,0,0,0,69,0,5,0,2020-03-02 03:00:00,CHN,69,0,5,0
Taiwan,Taiwan,41,0,1,0,18,2,22,-2,2020-03-02 03:00:00,TWN,12,0,28,0
Qinghai,Mainland China,18,0,0,0,18,0,0,0,2020-02-21 03:00:00,CHN,18,0,0,0
Macau,Macau,10,0,0,0,9,0,1,0,2020-02-28 02:00:00,MAC,8,0,2,0
