Name,Region,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Last Update,FIPS/ID,Recovered,newRecovered,Active,newActive
Afghanistan,Afghanistan,21,5,0,0,0,0,21,5,2020-03-16 23:00:00,AFG,,,,
Albania,Albania,51,9,1,0,-1,0,51,9,2020-03-16 23:00:00,ALB,,,,
Algeria,Algeria,49,0,4,1,-1,1,46,-2,2020-03-16 23:00:00,DZA,,,,
Andorra,Andorra,14,12,0,0,0,0,14,12,2020-03-16 23:00:00,AND,,,,
Antigua and Barbuda,Antigua and Barbuda,1,0,0,0,0,0,1,0,2020-03-16 23:00:00,ATG,,,,
Argentina,Argentina,56,11,2,0,-2,0,56,11,2020-03-16 23:00:00,ARG,,,,
Armenia,Armenia,52,26,0,0,0,0,52,26,2020-03-16 23:00:00,ARM,,,,
Australia,Australia,336,38,5,0,24,5,307,33,2020-03-16 23:00:00,AUS,,,,
Austria,Austria,959,99,1,0,13,6,945,93,2020-03-16 23:00:00,AUT,,,,
Azerbaijan,Azerbaijan,21,0,0,0,2,0,19,0,2020-03-16 23:00:00,AZE,,,,
Bahrain,Bahrain,221,7,1,1,38,6,182,0,2020-03-16 23:00:00,BHR,,,,
Bangladesh,Bangladesh,8,5,0,0,0,0,8,5,2020-03-16 23:00:00,BGD,,,,
Belarus,Belarus,36,15,0,0,0,0,36,15,2020-03-16 23:00:00,BLR,,,,
Belgium,Belgium,1085,199,5,5,1,1,1079,193,2020-03-16 23:00:00,BEL,,,,
Bhutan,Bhutan,1,0,0,0,0,0,1,0,2020-03-16 23:00:00,BTN,,,,
Bolivia,Bolivia,11,8,0,0,0,0,11,8,2020-03-16 23:00:00,BOL,,,,
Bosnia and Herzegovina,Bosnia and Herzegovina,19,0,0,0,0,0,19,0,2020-03-16 23:00:00,BIH,,,,
Brazil,Brazil,200,79,0,0,1,0,199,79,2020-03-16 23:00:00,BRA,,,,
Brunei,Brunei,50,10,0,0,0,0,50,10,2020-03-16 23:00:00,BRN,,,,
Bulgaria,Bulgaria,67,16,2,0,-2,0,67,16,2020-03-16 23:00:00,BGR,,,,
Burkina Faso,Burkina Faso,15,12,0,0,0,0,15,12,2020-03-16 23:00:00,BFA,,,,
Cambodia,Cambodia,12,0,0,0,1,0,11,0,2020-03-16 23:00:00,KHM,,,,
Cameroon,Cameroon,5,2,0,0,0,0,5,2,2020-03-16 23:00:00,CMR,,,,
Cayman Islands,Cayman Islands,1,0,1,1,-1,-1,1,0,2020-03-16 23:00:00,CYM,,,,
Central African Republic,Central African Republic,1,0,0,0,0,0,1,0,2020-03-16 23:00:00,CAF,,,,
Colombia,Colombia,34,10,0,0,0,0,34,10,2020-03-16 23:00:00,COL,,,,
Republic of the Congo,Republic of the Congo,1,0,0,0,0,0,1,0,2020-03-16 23:00:00,COG,,,,
Costa Rica,Costa Rica,35,12,0,0,0,0,35,12,2020-03-16 23:00:00,CRI,,,,
Cote d'Ivoire,Cote d'Ivoire,3,0,0,0,0,0,3,0,2020-03-16 23:00:00,CIV,,,,
Croatia,Croatia,56,19,0,0,6,1,50,18,2020-03-16 23:00:00,HRV,,,,
Cuba,Cuba,4,0,0,0,0,0,4,0,2020-03-16 23:00:00,CUB,,,,
Curacao,Curacao,2,0,0,0,0,0,2,0,2020-03-16 23:00:00,CUW,,,,
Cyprus,Cyprus,33,3,0,0,0,0,33,3,2020-03-16 23:00:00,CYP,,,,
Czech Republic,Czech Republic,298,45,0,0,2,0,296,45,2020-03-16 23:00:00,CZE,,,,
Democratic Republic of the Congo,Democratic Republic of the Congo,2,0,0,0,0,0,2,0,2020-03-16 23:00:00,COD,,,,
Denmark,Denmark,898,34,1,0,3,1,894,33,2020-03-16 23:00:00,DNK,,,,
Dominican Republic,Dominican Republic,5,0,0,0,0,0,5,0,2020-03-16 23:00:00,DOM,,,,
Ecuador,Ecuador,37,14,2,2,2,2,33,10,2020-03-16 23:00:00,ECU,,,,
Egypt,Egypt,126,16,2,0,0,1,124,15,2020-03-16 23:00:00,EGY,,,,
Equatorial Guinea,Equatorial Guinea,1,0,0,0,0,0,1,0,2020-03-16 23:00:00,GNQ,,,,
Estonia,Estonia,205,34,0,0,0,0,205,34,2020-03-16 23:00:00,EST,,,,
eSwatini,eSwatini,1,0,0,0,0,0,1,0,2020-03-16 23:00:00,SWZ,,,,
Ethiopia,Ethiopia,4,3,0,0,0,0,4,3,2020-03-16 23:00:00,ETH,,,,
Faroe Islands,Faroe Islands,11,2,0,0,0,0,11,2,2020-03-16 23:00:00,FRO,,,,
Finland,Finland,272,5,0,0,5,0,267,5,2020-03-16 23:00:00,FIN,,,,
France,France,6573,1193,148,21,6,50,6419,1122,2020-03-16 23:00:00,FRA,,,,
French Guiana,French Guiana,7,0,0,0,0,0,7,0,2020-03-16 23:00:00,GUF,,,,
French Polynesia,French Polynesia,3,0,0,0,0,0,3,0,2020-03-16 23:00:00,PYF,,,,
Gabon,Gabon,1,0,0,0,0,0,1,0,2020-03-16 23:00:00,GAB,,,,
Georgia (country),Georgia,33,0,0,0,2,0,31,0,2020-03-16 23:00:00,GEO,,,,
Ghana,Ghana,2,0,0,0,0,0,2,0,2020-03-16 23:00:00,GHA,,,,
Gibraltar,Gibraltar,3,2,0,0,0,0,3,2,2020-03-16 23:00:00,GIB,,,,
Greece,Greece,331,0,4,0,1,0,326,0,2020-03-16 23:00:00,GRC,,,,
Guadeloupe,Guadeloupe,6,0,0,0,0,0,6,0,2020-03-16 23:00:00,GLP,,,,
Guatemala,Guatemala,1,0,1,0,-1,0,1,0,2020-03-16 23:00:00,GTM,,,,
Guernsey,Guernsey,1,0,0,0,0,0,1,0,2020-03-16 23:00:00,GGY,,,,
Guinea,Guinea,1,0,0,0,0,0,1,0,2020-03-16 23:00:00,GIN,,,,
Guyana,Guyana,4,0,1,0,-1,0,4,0,2020-03-16 23:00:00,GUY,,,,
Vatican City,Vatican City,1,0,0,0,0,0,1,0,2020-03-16 23:00:00,VAT,,,,
Honduras,Honduras,2,0,0,0,0,0,2,0,2020-03-16 23:00:00,HND,,,,
Hungary,Hungary,39,7,1,0,-1,0,39,7,2020-03-16 23:00:00,HUN,,,,
Iceland,Iceland,180,42,0,0,7,6,173,36,2020-03-16 23:00:00,ISL,,,,
Indonesia,Indonesia,172,55,5,1,-3,1,170,53,2020-03-16 23:00:00,IDN,,,,
Iran,Iran,14991,1008,853,129,362,605,13776,274,2020-03-16 23:00:00,IRN,,,,
Iraq,Iraq,124,0,9,0,12,6,103,-6,2020-03-16 23:00:00,IRQ,,,,
Ireland,Ireland,223,54,2,0,-1,0,222,54,2020-03-16 23:00:00,IRL,,,,
Israel,Israel,250,50,0,0,8,3,242,47,2020-03-16 23:00:00,ISR,,,,
Italy,Italy,27980,3233,2158,349,-508,-68,26330,2952,2020-03-16 23:00:00,ITA,,,,
Jamaica,Jamaica,10,2,0,0,0,0,10,2,2020-03-16 23:00:00,JAM,,,,
Japan,Japan,814,34,24,2,203,23,587,9,2020-03-16 23:00:00,JPN,,,,
Jersey,Jersey,2,0,0,0,0,0,2,0,2020-03-16 23:00:00,JEY,,,,
Jordan,Jordan,6,0,0,0,0,0,6,0,2020-03-16 23:00:00,JOR,,,,
Kazakhstan,Kazakhstan,6,0,0,0,0,0,6,0,2020-03-16 23:00:00,KAZ,,,,
Kenya,Kenya,3,2,0,0,0,0,3,2,2020-03-16 23:00:00,KEN,,,,
Kosovo,Kosovo,5,0,0,0,0,0,5,0,2020-03-16 23:00:00,SRB,,,,
Kuwait,Kuwait,123,11,0,0,45,9,78,2,2020-03-16 23:00:00,KWT,,,,
