region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update,Type
1,AL- BIRMINGHAM,83.2,232,211,280,81.33,86.82,232 [211 - 280],83.2% [81.33% - 86.82%],270,112,576,03-03-2021,projected
2,AL- DOTHAN,80.98,14,13,20,80.6,84.07,14 [13 - 20],80.98% [80.6% - 84.07%],13,8,54,03-03-2021,projected
5,AL- HUNTSVILLE,82.71,42,38,53,81.22,86.33,42 [38 - 53],82.71% [81.22% - 86.33%],51,23,119,03-03-2021,projected
6,AL- MOBILE,82.91,70,64,84,81.68,85.92,70 [64 - 84],82.91% [81.68% - 85.92%],83,48,169,03-03-2021,projected
7,AL- MONTGOMERY,81.75,15,13,18,80.78,82.46,15 [13 - 18],81.75% [80.78% - 82.46%],27,12,38,03-03-2021,projected
9,AL- TUSCALOOSA,83.11,23,21,28,81.5,85.91,23 [21 - 28],83.11% [81.5% - 85.91%],31,15,59,03-03-2021,projected
11,AZ- MESA,82.32,31,29,37,81.41,84.34,31 [29 - 37],82.32% [81.41% - 84.34%],46,28,86,03-03-2021,projected
12,AZ- PHOENIX,81.52,86,79,101,80.95,83.04,86 [79 - 101],81.52% [80.95% - 83.04%],115,72,230,03-03-2021,projected
14,AZ- SUN CITY,80.74,7,6,7,80.49,81.36,7 [6 - 7],80.74% [80.49% - 81.36%],6,4,11,03-03-2021,projected
15,AZ- TUCSON,81.66,31,28,36,80.91,82.93,31 [28 - 36],81.66% [80.91% - 82.93%],42,23,74,03-03-2021,projected
16,AR- FORT SMITH,80.94,5,4,8,80.0,81.56,5 [4 - 8],80.94% [80.0% - 81.56%],12,0,20,03-03-2021,projected
18,AR- JONESBORO,80.66,7,6,11,80.0,83.65,7 [6 - 11],80.66% [80.0% - 83.65%],6,0,33,03-03-2021,projected
19,AR- LITTLE ROCK,82.72,134,120,192,80.94,88.94,134 [120 - 192],82.72% [80.94% - 88.94%],157,54,516,03-03-2021,projected
21,AR- SPRINGDALE,84.64,42,38,57,82.27,92.87,42 [38 - 57],84.64% [82.27% - 92.87%],49,24,136,03-03-2021,projected
22,AR- TEXARKANA,82.45,21,19,29,81.02,87.86,21 [19 - 29],82.45% [81.02% - 87.86%],24,10,77,03-03-2021,projected
23,CA- ORANGE CO.,80.37,17,16,20,80.22,80.65,17 [16 - 20],80.37% [80.22% - 80.65%],28,17,50,03-03-2021,projected
25,CA- BAKERSFIELD,80.5,9,8,11,80.28,80.75,9 [8 - 11],80.5% [80.28% - 80.75%],18,10,27,03-03-2021,projected
31,CA- CHICO,80.0,0,0,1,80.0,80.94,0 [0 - 1],80.0% [80.0% - 80.94%],0,0,6,03-03-2021,projected
33,CA- CONTRA COSTA CO.,81.25,17,16,21,80.75,82.45,17 [16 - 21],81.25% [80.75% - 82.45%],25,15,49,03-03-2021,projected
43,CA- FRESNO,81.1,18,16,20,80.61,81.84,18 [16 - 20],81.1% [80.61% - 81.84%],25,14,42,03-03-2021,projected
56,CA- LOS ANGELES,80.53,82,76,91,80.32,80.83,82 [76 - 91],80.53% [80.32% - 80.83%],132,79,205,03-03-2021,projected
58,CA- MODESTO,81.63,20,18,23,80.76,82.91,20 [18 - 23],81.63% [80.76% - 82.91%],28,13,50,03-03-2021,projected
62,CA- NAPA,81.55,7,6,8,80.0,82.41,7 [6 - 8],81.55% [80.0% - 82.41%],9,0,14,03-03-2021,projected
65,CA- ALAMEDA CO.,80.21,7,6,7,80.15,80.38,7 [6 - 7],80.21% [80.15% - 80.38%],7,5,13,03-03-2021,projected
69,CA- PALM SPR/RANCHO MIR.,80.09,0,0,0,80.09,80.19,0 [0 - 0],80.09% [80.09% - 80.19%],1,1,2,03-03-2021,projected
73,CA- REDDING,82.59,22,19,26,81.11,84.34,22 [19 - 26],82.59% [81.11% - 84.34%],28,12,47,03-03-2021,projected
77,CA- SACRAMENTO,81.07,37,33,42,80.61,81.94,37 [33 - 42],81.07% [80.61% - 81.94%],51,29,93,03-03-2021,projected
78,CA- SALINAS,80.76,1,0,2,80.0,80.76,1 [0 - 2],80.76% [80.0% - 80.76%],6,0,6,03-03-2021,projected
79,CA- SAN BERNARDINO,80.42,15,13,17,80.24,80.64,15 [13 - 17],80.42% [80.24% - 80.64%],24,14,37,03-03-2021,projected
80,CA- SAN DIEGO,80.88,40,37,45,80.51,81.42,40 [37 - 45],80.88% [80.51% - 81.42%],62,36,100,03-03-2021,projected
81,CA- SAN FRANCISCO,80.41,14,13,16,80.18,80.73,14 [13 - 16],80.41% [80.18% - 80.73%],21,9,37,03-03-2021,projected
82,CA- SAN JOSE,81.39,30,28,35,80.83,82.64,30 [28 - 35],81.39% [80.83% - 82.64%],42,25,80,03-03-2021,projected
83,CA- SAN LUIS OBISPO,81.32,7,6,7,80.44,81.32,7 [6 - 7],81.32% [80.44% - 81.32%],6,2,6,03-03-2021,projected
85,CA- SAN MATEO CO.,80.85,21,19,24,80.52,81.78,21 [19 - 24],80.85% [80.52% - 81.78%],23,14,48,03-03-2021,projected
86,CA- SANTA BARBARA,81.04,7,7,8,80.62,81.55,7 [7 - 8],81.04% [80.62% - 81.55%],10,6,15,03-03-2021,projected
87,CA- SANTA CRUZ,80.0,0,0,1,80.0,81.67,0 [0 - 1],80.0% [80.0% - 81.67%],0,0,6,03-03-2021,projected
89,CA- SANTA ROSA,80.97,14,13,16,80.64,81.93,14 [13 - 16],80.97% [80.64% - 81.93%],18,12,36,03-03-2021,projected
91,CA- STOCKTON,80.94,7,7,8,80.47,81.51,7 [7 - 8],80.94% [80.47% - 81.51%],10,5,16,03-03-2021,projected
96,CA- VENTURA,80.45,7,6,8,80.38,80.83,7 [6 - 8],80.45% [80.38% - 80.83%],7,6,13,03-03-2021,projected
