region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update,Type
299,NY- BUFFALO,83.48,44,40,51,81.86,85.34,44 [40 - 51],83.48% [81.86% - 85.34%],125,67,192,03-03-2021,projected
300,NY- ELMIRA,81.11,7,7,8,80.56,82.79,7 [7 - 8],81.11% [80.56% - 82.79%],12,6,30,03-03-2021,projected
301,NY- EAST LONG ISLAND,85.56,224,207,247,83.31,88.56,224 [207 - 247],85.56% [83.31% - 88.56%],608,362,936,03-03-2021,projected
304,NY- ROCHESTER,82.7,32,29,37,81.45,84.59,32 [29 - 37],82.7% [81.45% - 84.59%],80,43,136,03-03-2021,projected
307,NY- SYRACUSE,82.27,22,19,27,80.92,84.04,22 [19 - 27],82.27% [80.92% - 84.04%],64,26,114,03-03-2021,projected
308,NY- WHITE PLAINS,84.72,48,44,54,82.8,87.31,48 [44 - 54],84.72% [82.8% - 87.31%],140,83,217,03-03-2021,projected
309,NC- ASHEVILLE,82.61,21,19,25,81.54,84.79,21 [19 - 25],82.61% [81.54% - 84.79%],49,29,90,03-03-2021,projected
311,NC- CHARLOTTE,82.47,59,54,66,81.36,84.09,59 [54 - 66],82.47% [81.36% - 84.09%],143,79,237,03-03-2021,projected
312,NC- DURHAM,81.23,28,25,32,80.58,82.49,28 [25 - 32],81.23% [80.58% - 82.49%],57,27,115,03-03-2021,projected
313,NC- GREENSBORO,81.73,14,13,15,80.89,82.68,14 [13 - 15],81.73% [80.89% - 82.68%],31,16,48,03-03-2021,projected
314,NC- GREENVILLE,80.8,7,6,8,80.44,81.39,7 [6 - 8],80.8% [80.44% - 81.39%],20,11,35,03-03-2021,projected
315,NC- HICKORY,81.07,0,0,1,80.53,82.41,0 [0 - 1],81.07% [80.53% - 82.41%],8,4,18,03-03-2021,projected
318,NC- RALEIGH,82.43,46,43,53,81.3,84.44,46 [43 - 53],82.43% [81.3% - 84.44%],103,55,188,03-03-2021,projected
319,NC- WILMINGTON,81.48,7,6,8,80.33,81.97,7 [6 - 8],81.48% [80.33% - 81.97%],18,4,24,03-03-2021,projected
320,NC- WINSTON-SALEM,80.98,14,13,17,80.41,81.93,14 [13 - 17],80.98% [80.41% - 81.93%],36,15,71,03-03-2021,projected
321,ND- BISMARCK,80.0,0,0,14,80.0,99.33,0 [0 - 14],80.0% [80.0% - 99.33%],0,0,162,03-03-2021,projected
322,ND- FARGO MOORHEAD -MN,84.88,45,40,54,81.87,90.15,45 [40 - 54],84.88% [81.87% - 90.15%],99,38,206,03-03-2021,projected
323,ND- GRAND FORKS,80.0,0,0,7,80.0,98.4,0 [0 - 7],80.0% [80.0% - 98.4%],0,0,108,03-03-2021,projected
324,ND- MINOT,80.0,0,0,0,80.0,80.86,0 [0 - 0],80.0% [80.0% - 80.86%],0,0,6,03-03-2021,projected
325,OH- AKRON,81.36,13,12,15,80.7,81.94,13 [12 - 15],81.36% [80.7% - 81.94%],33,17,47,03-03-2021,projected
326,OH- CANTON,80.9,8,7,9,80.43,81.32,8 [7 - 9],80.9% [80.43% - 81.32%],19,9,28,03-03-2021,projected
327,OH- CINCINNATI,81.34,24,21,27,80.58,81.98,24 [21 - 27],81.34% [80.58% - 81.98%],64,28,95,03-03-2021,projected
328,OH- CLEVELAND,81.54,64,58,73,80.93,82.91,64 [58 - 73],81.54% [80.93% - 82.91%],136,82,257,03-03-2021,projected
329,OH- COLUMBUS,81.01,31,27,38,80.46,82.01,31 [27 - 38],81.01% [80.46% - 82.01%],90,41,180,03-03-2021,projected
330,OH- DAYTON,80.34,7,6,8,80.18,80.76,7 [6 - 8],80.34% [80.18% - 80.76%],11,6,25,03-03-2021,projected
331,OH- ELYRIA,81.24,7,6,7,81.1,82.21,7 [6 - 7],81.24% [81.1% - 82.21%],9,8,16,03-03-2021,projected
332,OH- KETTERING,81.04,7,6,7,80.69,81.73,7 [6 - 7],81.04% [80.69% - 81.73%],12,8,20,03-03-2021,projected
334,OH- TOLEDO,82.01,35,32,42,81.07,83.94,35 [32 - 42],82.01% [81.07% - 83.94%],84,45,165,03-03-2021,projected
335,OH- YOUNGSTOWN,80.96,10,9,11,80.46,81.65,10 [9 - 11],80.96% [80.46% - 81.65%],25,12,43,03-03-2021,projected
336,OK- LAWTON,81.68,5,4,6,80.84,81.68,5 [4 - 6],81.68% [80.84% - 81.68%],12,6,12,03-03-2021,projected
339,OK- OKLAHOMA CITY,82.46,69,65,93,81.41,86.5,69 [65 - 93],82.46% [81.41% - 86.5%],162,93,428,03-03-2021,projected
340,OK- TULSA,80.58,8,7,10,80.28,81.15,8 [7 - 10],80.58% [80.28% - 81.15%],29,14,58,03-03-2021,projected
341,OR- BEND,80.0,0,0,0,80.0,80.74,0 [0 - 0],80.0% [80.0% - 80.74%],0,0,3,03-03-2021,projected
342,OR- EUGENE,83.49,17,15,21,81.7,86.21,17 [15 - 21],83.49% [81.7% - 86.21%],41,20,73,03-03-2021,projected
343,OR- MEDFORD,83.42,14,13,18,81.76,88.29,14 [13 - 18],83.42% [81.76% - 88.29%],33,17,80,03-03-2021,projected
344,OR- PORTLAND,81.15,26,24,31,80.48,82.08,26 [24 - 31],81.15% [80.48% - 82.08%],60,25,109,03-03-2021,projected
345,OR- SALEM,82.98,0,0,2,81.38,85.5,0 [0 - 2],82.98% [81.38% - 85.5%],13,6,24,03-03-2021,projected
346,PA- ALLENTOWN,81.77,20,17,24,80.6,83.42,20 [17 - 24],81.77% [80.6% - 83.42%],56,19,108,03-03-2021,projected
347,PA- ALTOONA,80.14,0,0,1,80.0,81.01,0 [0 - 1],80.14% [80.0% - 81.01%],1,0,7,03-03-2021,projected
350,PA- DANVILLE,81.78,6,4,9,80.0,83.88,6 [4 - 9],81.78% [80.0% - 83.88%],27,0,59,03-03-2021,projected
351,PA- ERIE,81.17,7,6,10,80.49,82.47,7 [6 - 10],81.17% [80.49% - 82.47%],26,11,55,03-03-2021,projected
352,PA- HARRISBURG,84.76,37,32,52,81.0,93.31,37 [32 - 52],84.76% [81.0% - 93.31%],109,23,305,03-03-2021,projected
354,PA- JOHNSTOWN,80.0,0,0,1,80.0,81.22,0 [0 - 1],80.0% [80.0% - 81.22%],0,0,9,03-03-2021,projected
355,PA- LANCASTER,81.68,7,6,8,80.34,82.85,7 [6 - 8],81.68% [80.34% - 82.85%],20,4,34,03-03-2021,projected
356,PA- PHILADELPHIA,81.57,71,65,82,80.79,82.73,71 [65 - 82],81.57% [80.79% - 82.73%],195,98,340,03-03-2021,projected
357,PA- PITTSBURGH,81.51,60,54,75,80.58,83.04,60 [54 - 75],81.51% [80.58% - 83.04%],176,68,355,03-03-2021,projected
358,PA- READING,81.19,7,6,8,80.14,82.74,7 [6 - 8],81.19% [80.14% - 82.74%],17,2,39,03-03-2021,projected
359,PA- SAYRE,82.12,1,0,2,80.0,83.4,1 [0 - 2],82.12% [80.0% - 83.4%],10,0,16,03-03-2021,projected
360,PA- SCRANTON,82.15,7,6,8,80.79,83.63,7 [6 - 8],82.15% [80.79% - 83.63%],19,7,32,03-03-2021,projected
362,PA- WILKES-BARRE,80.76,0,0,1,80.0,81.07,0 [0 - 1],80.76% [80.0% - 81.07%],5,0,7,03-03-2021,projected
363,PA- YORK,81.2,4,3,5,80.0,82.17,4 [3 - 5],81.2% [80.0% - 82.17%],10,0,18,03-03-2021,projected
364,RI- PROVIDENCE,81.02,14,13,15,80.57,81.56,14 [13 - 15],81.02% [80.57% - 81.56%],32,18,49,03-03-2021,projected
365,SC- CHARLESTON,81.88,23,20,26,81.04,83.33,23 [20 - 26],81.88% [81.04% - 83.33%],56,31,99,03-03-2021,projected
366,SC- COLUMBIA,81.76,21,18,25,80.67,82.77,21 [18 - 25],81.76% [80.67% - 82.77%],66,25,104,03-03-2021,projected
367,SC- FLORENCE,80.22,0,0,0,80.07,80.75,0 [0 - 0],80.22% [80.07% - 80.75%],3,1,10,03-03-2021,projected
368,SC- GREENVILLE,81.76,12,11,15,80.88,82.76,12 [11 - 15],81.76% [80.88% - 82.76%],42,21,66,03-03-2021,projected
369,SC- SPARTANBURG,81.6,6,5,7,80.66,82.83,6 [5 - 7],81.6% [80.66% - 82.83%],17,7,30,03-03-2021,projected
370,SD- RAPID CITY,86.1,14,13,18,82.33,91.48,14 [13 - 18],86.1% [82.33% - 91.48%],42,16,79,03-03-2021,projected
371,SD- SIOUX FALLS,82.6,28,24,38,80.83,87.32,28 [24 - 38],82.6% [80.83% - 87.32%],72,23,203,03-03-2021,projected
373,TN- CHATTANOOGA,83.84,39,35,44,82.23,86.78,39 [35 - 44],83.84% [82.23% - 86.78%],86,50,152,03-03-2021,projected
374,TN- JACKSON,80.0,0,0,0,80.0,80.22,0 [0 - 0],80.0% [80.0% - 80.22%],0,0,3,03-03-2021,projected
375,TN- JOHNSON CITY,81.28,7,6,8,80.74,83.09,7 [6 - 8],81.28% [80.74% - 83.09%],12,7,29,03-03-2021,projected
376,TN- KINGSPORT,81.11,7,6,9,80.6,81.96,7 [6 - 9],81.11% [80.6% - 81.96%],22,12,39,03-03-2021,projected
377,TN- KNOXVILLE,81.89,25,21,32,80.62,83.19,25 [21 - 32],81.89% [80.62% - 83.19%],79,26,133,03-03-2021,projected
379,TN- MEMPHIS,81.5,43,39,59,80.74,85.11,43 [39 - 59],81.5% [80.74% - 85.11%],95,47,323,03-03-2021,projected
380,TN- NASHVILLE,81.55,54,48,64,80.77,82.95,54 [48 - 64],81.55% [80.77% - 82.95%],133,66,252,03-03-2021,projected
382,TX- ABILENE,85.12,21,18,28,82.03,93.63,21 [18 - 28],85.12% [82.03% - 93.63%],68,27,181,03-03-2021,projected
383,TX- AMARILLO,81.73,7,7,14,81.0,86.59,7 [7 - 14],81.73% [81.0% - 86.59%],26,15,99,03-03-2021,projected
385,TX- AUSTIN,86.55,112,103,146,83.29,98.24,112 [103 - 146],86.55% [83.29% - 98.24%],229,115,638,03-03-2021,projected
386,TX- BEAUMONT,84.67,35,32,46,82.48,94.31,35 [32 - 46],84.67% [82.48% - 94.31%],64,34,196,03-03-2021,projected
388,TX- BRYAN,98.46,51,47,60,90.29,117.25,51 [47 - 60],98.46% [90.29% - 117.25%],113,63,228,03-03-2021,projected
390,TX- CORPUS CHRISTI,83.17,28,25,35,81.56,87.07,28 [25 - 35],83.17% [81.56% - 87.07%],65,32,145,03-03-2021,projected
391,TX- DALLAS,86.24,343,320,395,83.63,91.92,343 [320 - 395],86.24% [83.63% - 91.92%],764,444,1460,03-03-2021,projected
393,TX- EL PASO,86.41,73,67,82,83.97,90.31,73 [67 - 82],86.41% [83.97% - 90.31%],176,109,283,03-03-2021,projected
394,TX- FORT WORTH,81.66,30,28,34,81.1,82.78,30 [28 - 34],81.66% [81.1% - 82.78%],83,55,139,03-03-2021,projected
396,TX- HARLINGEN,85.99,40,37,44,83.95,90.16,40 [37 - 44],85.99% [83.95% - 90.16%],85,56,144,03-03-2021,projected
397,TX- HOUSTON,87.3,579,537,677,84.23,94.62,579 [537 - 677],87.3% [84.23% - 94.62%],1245,722,2495,03-03-2021,projected
399,TX- LONGVIEW,80.0,0,0,1,80.0,81.31,0 [0 - 1],80.0% [80.0% - 81.31%],0,0,9,03-03-2021,projected
400,TX- LUBBOCK,87.07,87,78,117,82.89,103.35,87 [78 - 117],87.07% [82.89% - 103.35%],169,69,558,03-03-2021,projected
402,TX- MCALLEN,99.74,136,128,151,92.36,111.59,136 [128 - 151],99.74% [92.36% - 111.59%],313,196,501,03-03-2021,projected
406,TX- ODESSA,81.86,7,7,9,80.77,83.41,7 [7 - 9],81.86% [80.77% - 83.41%],24,10,44,03-03-2021,projected
411,TX- SAN ANGELO,80.87,0,0,0,80.0,82.04,0 [0 - 0],80.87% [80.0% - 82.04%],6,0,14,03-03-2021,projected
412,TX- SAN ANTONIO,87.45,220,204,257,84.44,94.54,220 [204 - 257],87.45% [84.44% - 94.54%],539,321,1052,03-03-2021,projected
413,TX- TEMPLE,86.07,31,28,47,82.88,105.35,31 [28 - 47],86.07% [82.88% - 105.35%],57,27,238,03-03-2021,projected
416,TX- TYLER,81.93,7,7,12,80.56,84.55,7 [7 - 12],81.93% [80.56% - 84.55%],31,9,73,03-03-2021,projected
417,TX- VICTORIA,84.17,9,8,11,82.61,87.04,9 [8 - 11],84.17% [82.61% - 87.04%],32,20,54,03-03-2021,projected
418,TX- WACO,98.26,51,47,58,91.06,113.67,51 [47 - 58],98.26% [91.06% - 113.67%],109,66,201,03-03-2021,projected
420,TX- WICHITA FALLS,86.09,21,19,29,82.61,99.42,21 [19 - 29],86.09% [82.61% - 99.42%],42,18,134,03-03-2021,projected
421,UT- OGDEN,80.82,0,0,1,80.41,81.1,0 [0 - 1],80.82% [80.41% - 81.1%],6,3,8,03-03-2021,projected
422,UT- PROVO,82.11,7,6,8,81.22,83.22,7 [6 - 8],82.11% [81.22% - 83.22%],19,11,29,03-03-2021,projected
423,UT- SALT LAKE CITY,81.7,21,19,26,80.71,82.91,21 [19 - 26],81.7% [80.71% - 82.91%],67,28,115,03-03-2021,projected
424,VT- BURLINGTON,83.98,25,22,29,81.64,86.69,25 [22 - 29],83.98% [81.64% - 86.69%],63,26,106,03-03-2021,projected
426,VA- ARLINGTON,83.73,42,39,49,82.18,86.29,42 [39 - 49],83.73% [82.18% - 86.29%],108,63,182,03-03-2021,projected
427,VA- CHARLOTTESVILLE,81.43,7,6,10,80.14,84.56,7 [6 - 10],81.43% [80.14% - 84.56%],20,2,64,03-03-2021,projected
428,VA- LYNCHBURG,80.0,0,0,0,80.0,80.0,0 [0 - 0],80.0% [80.0% - 80.0%],0,0,0,03-03-2021,projected
429,VA- NEWPORT NEWS,82.81,7,7,10,81.05,84.83,7 [7 - 10],82.81% [81.05% - 84.83%],32,12,55,03-03-2021,projected
430,VA- NORFOLK,81.96,21,19,24,80.92,83.29,21 [19 - 24],81.96% [80.92% - 83.29%],53,25,89,03-03-2021,projected
431,VA- RICHMOND,81.49,23,21,29,80.62,82.96,23 [21 - 29],81.49% [80.62% - 82.96%],70,29,139,03-03-2021,projected
432,VA- ROANOKE,83.44,28,24,37,81.0,87.66,28 [24 - 37],83.44% [81.0% - 87.66%],96,28,214,03-03-2021,projected
435,VA- WINCHESTER,80.0,0,0,0,80.0,80.0,0 [0 - 0],80.0% [80.0% - 80.0%],0,0,0,03-03-2021,projected
437,WA- EVERETT,82.19,7,6,8,80.97,83.9,7 [6 - 8],82.19% [80.97% - 83.9%],18,8,32,03-03-2021,projected
438,WA- OLYMPIA,82.96,7,6,9,81.04,85.78,7 [6 - 9],82.96% [81.04% - 85.78%],20,7,39,03-03-2021,projected
439,WA- SEATTLE,81.16,28,26,32,80.68,82.11,28 [26 - 32],81.16% [80.68% - 82.11%],63,37,115,03-03-2021,projected
440,WA- SPOKANE,82.61,43,39,55,81.38,86.15,43 [39 - 55],82.61% [81.38% - 86.15%],98,52,231,03-03-2021,projected
441,WA- TACOMA,83.5,19,17,22,82.12,86.11,19 [17 - 22],83.5% [82.12% - 86.11%],43,26,75,03-03-2021,projected
442,WA- YAKIMA,83.11,7,6,9,81.55,86.04,7 [6 - 9],83.11% [81.55% - 86.04%],18,9,35,03-03-2021,projected
