region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update,Type
1,AL- BIRMINGHAM,115.33,2984,2794,3244,102.45,133.21,2984 [2794 - 3244],115.33% [102.45% - 133.21%],2984,1896,4494,05-18-2021,projected
2,AL- DOTHAN,85.57,76,72,85,83.77,89.04,76 [72 - 85],85.57% [83.77% - 89.04%],74,50,120,05-18-2021,projected
5,AL- HUNTSVILLE,86.01,114,107,123,84.04,88.99,114 [107 - 123],86.01% [84.04% - 88.99%],113,76,169,05-18-2021,projected
6,AL- MOBILE,82.63,75,71,81,81.75,83.78,75 [71 - 81],82.63% [81.75% - 83.78%],75,50,108,05-18-2021,projected
7,AL- MONTGOMERY,86.34,98,90,127,83.82,95.65,98 [90 - 127],86.34% [83.82% - 95.65%],98,59,242,05-18-2021,projected
9,AL- TUSCALOOSA,82.71,26,25,28,82.1,83.61,26 [25 - 28],82.71% [82.1% - 83.61%],27,21,36,05-18-2021,projected
11,AZ- MESA,86.62,133,127,144,84.65,90.56,133 [127 - 144],86.62% [84.65% - 90.56%],131,92,209,05-18-2021,projected
12,AZ- PHOENIX,83.84,290,276,317,82.64,86.22,290 [276 - 317],83.84% [82.64% - 86.22%],291,200,471,05-18-2021,projected
14,AZ- SUN CITY,82.72,21,20,23,81.98,84.2,21 [20 - 23],82.72% [81.98% - 84.2%],22,16,34,05-18-2021,projected
15,AZ- TUCSON,81.9,49,47,54,81.43,83.21,49 [47 - 54],81.9% [81.43% - 83.21%],48,36,81,05-18-2021,projected
16,AR- FORT SMITH,81.41,18,13,26,80.0,84.92,18 [13 - 26],81.41% [80.0% - 84.92%],18,0,63,05-18-2021,projected
18,AR- JONESBORO,81.55,14,14,17,81.55,82.21,14 [14 - 17],81.55% [81.55% - 82.21%],14,14,20,05-18-2021,projected
19,AR- LITTLE ROCK,83.59,206,192,242,82.08,86.58,206 [192 - 242],83.59% [82.08% - 86.58%],207,120,380,05-18-2021,projected
21,AR- SPRINGDALE,89.27,100,90,117,85.3,98.64,100 [90 - 117],89.27% [85.3% - 98.64%],98,56,197,05-18-2021,projected
22,AR- TEXARKANA,83.67,38,35,48,82.65,89.18,38 [35 - 48],83.67% [82.65% - 89.18%],36,26,90,05-18-2021,projected
23,CA- ORANGE CO.,80.27,21,18,24,80.13,80.54,21 [18 - 24],80.27% [80.13% - 80.54%],21,10,41,05-18-2021,projected
25,CA- BAKERSFIELD,81.3,49,44,53,80.58,81.99,49 [44 - 53],81.3% [80.58% - 81.99%],47,21,72,05-18-2021,projected
31,CA- CHICO,82.5,14,13,18,82.5,84.69,14 [13 - 18],82.5% [82.5% - 84.69%],16,16,30,05-18-2021,projected
33,CA- CONTRA COSTA CO.,82.15,35,33,39,81.5,83.0,35 [33 - 39],82.15% [81.5% - 83.0%],43,30,60,05-18-2021,projected
43,CA- FRESNO,80.88,16,14,18,80.44,81.31,16 [14 - 18],80.88% [80.44% - 81.31%],20,10,30,05-18-2021,projected
56,CA- LOS ANGELES,80.18,32,28,38,80.08,80.37,32 [28 - 38],80.18% [80.08% - 80.37%],45,20,92,05-18-2021,projected
58,CA- MODESTO,81.51,25,22,28,80.52,82.33,25 [22 - 28],81.51% [80.52% - 82.33%],26,9,40,05-18-2021,projected
62,CA- NAPA,82.58,13,11,15,81.55,83.61,13 [11 - 15],82.58% [81.55% - 83.61%],15,9,21,05-18-2021,projected
65,CA- ALAMEDA CO.,81.51,41,39,44,81.12,81.89,41 [39 - 44],81.51% [81.12% - 81.89%],51,38,64,05-18-2021,projected
69,CA- PALM SPR/RANCHO MIR.,80.38,1,0,2,80.09,80.66,1 [0 - 2],80.38% [80.09% - 80.66%],4,1,7,05-18-2021,projected
73,CA- REDDING,84.62,50,46,58,82.59,87.95,50 [46 - 58],84.62% [82.59% - 87.95%],50,28,86,05-18-2021,projected
77,CA- SACRAMENTO,82.82,134,124,154,82.09,84.45,134 [124 - 154],82.82% [82.09% - 84.45%],135,100,213,05-18-2021,projected
78,CA- SALINAS,81.01,7,6,7,80.0,81.01,7 [6 - 7],81.01% [80.0% - 81.01%],8,0,8,05-18-2021,projected
79,CA- SAN BERNARDINO,80.54,18,15,23,80.17,80.97,18 [15 - 23],80.54% [80.17% - 80.97%],31,10,56,05-18-2021,projected
80,CA- SAN DIEGO,81.38,80,74,86,80.92,81.89,80 [74 - 86],81.38% [80.92% - 81.89%],97,65,133,05-18-2021,projected
81,CA- SAN FRANCISCO,80.79,33,30,35,80.37,80.95,33 [30 - 35],80.79% [80.37% - 80.95%],40,19,48,05-18-2021,projected
82,CA- SAN JOSE,80.86,21,20,24,80.59,81.32,21 [20 - 24],80.86% [80.59% - 81.32%],26,18,40,05-18-2021,projected
83,CA- SAN LUIS OBISPO,80.0,0,0,1,80.0,81.75,0 [0 - 1],80.0% [80.0% - 81.75%],0,0,8,05-18-2021,projected
85,CA- SAN MATEO CO.,80.67,7,7,9,80.41,80.82,7 [7 - 9],80.67% [80.41% - 80.82%],18,11,22,05-18-2021,projected
86,CA- SANTA BARBARA,80.83,7,6,7,80.0,80.93,7 [6 - 7],80.83% [80.0% - 80.93%],8,0,9,05-18-2021,projected
87,CA- SANTA CRUZ,82.51,7,6,8,80.56,83.9,7 [6 - 8],82.51% [80.56% - 83.9%],9,2,14,05-18-2021,projected
89,CA- SANTA ROSA,80.48,7,6,9,80.32,80.91,7 [6 - 9],80.48% [80.32% - 80.91%],9,6,17,05-18-2021,projected
91,CA- STOCKTON,81.41,14,13,16,80.66,82.63,14 [13 - 16],81.41% [80.66% - 82.63%],15,7,28,05-18-2021,projected
96,CA- VENTURA,80.57,7,6,8,80.57,81.08,7 [6 - 8],80.57% [80.57% - 81.08%],9,9,17,05-18-2021,projected
101,CO- BOULDER,82.74,14,13,15,81.89,84.42,14 [13 - 15],82.74% [81.89% - 84.42%],13,9,21,05-18-2021,projected
102,CO- COLORADO SPRINGS,95.17,158,148,177,89.37,106.18,158 [148 - 177],95.17% [89.37% - 106.18%],157,97,271,05-18-2021,projected
103,CO- DENVER,86.09,268,256,306,84.73,88.27,268 [256 - 306],86.09% [84.73% - 88.27%],291,226,395,05-18-2021,projected
104,CO- FORT COLLINS,86.57,43,40,52,84.23,93.77,43 [40 - 52],86.57% [84.23% - 93.77%],42,27,88,05-18-2021,projected
105,CO- GRAND JUNCTION,84.67,35,34,37,83.28,85.68,35 [34 - 37],84.67% [83.28% - 85.68%],37,26,45,05-18-2021,projected
106,CO- GREELEY,84.25,33,30,37,82.83,85.79,33 [30 - 37],84.25% [82.83% - 85.79%],33,22,45,05-18-2021,projected
107,CO- PUEBLO,82.38,21,19,24,81.0,84.14,21 [19 - 24],82.38% [81.0% - 84.14%],19,8,33,05-18-2021,projected
109,CT- BRIDGEPORT,81.06,14,13,15,80.83,81.36,14 [13 - 15],81.06% [80.83% - 81.36%],18,14,23,05-18-2021,projected
110,CT- HARTFORD,82.15,52,48,56,81.32,82.49,52 [48 - 56],82.15% [81.32% - 82.49%],70,43,81,05-18-2021,projected
111,CT- NEW HAVEN,81.22,40,37,41,80.96,81.53,40 [37 - 41],81.22% [80.96% - 81.53%],47,37,59,05-18-2021,projected
112,DE- WILMINGTON,82.36,32,30,35,81.72,82.74,32 [30 - 35],82.36% [81.72% - 82.74%],44,32,51,05-18-2021,projected
113,DC- WASHINGTON,82.02,98,91,107,81.48,82.66,98 [91 - 107],82.02% [81.48% - 82.66%],111,81,146,05-18-2021,projected
115,FL- BRADENTON,84.8,30,28,32,83.39,85.64,30 [28 - 32],84.8% [83.39% - 85.64%],34,24,40,05-18-2021,projected
116,FL- CLEARWATER,81.47,21,20,25,81.04,82.38,21 [20 - 25],81.47% [81.04% - 82.38%],24,17,39,05-18-2021,projected
