region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update,Type
1,AL- BIRMINGHAM,96.02,3017,2791,3458,88.23,109.2,3017 [2791 - 3458],96.02% [88.23% - 109.2%],1353,695,2466,05-18-2021,projected
2,AL- DOTHAN,85.27,148,136,171,82.64,89.86,148 [136 - 171],85.27% [82.64% - 89.86%],70,35,131,05-18-2021,projected
5,AL- HUNTSVILLE,84.52,187,172,215,82.45,88.72,187 [172 - 215],84.52% [82.45% - 88.72%],85,46,164,05-18-2021,projected
6,AL- MOBILE,81.51,94,87,110,80.88,83.08,94 [87 - 110],81.51% [80.88% - 83.08%],43,25,88,05-18-2021,projected
7,AL- MONTGOMERY,85.69,192,173,268,82.13,99.4,192 [173 - 268],85.69% [82.13% - 99.4%],88,33,300,05-18-2021,projected
9,AL- TUSCALOOSA,81.4,34,31,39,80.9,82.3,34 [31 - 39],81.4% [80.9% - 82.3%],14,9,23,05-18-2021,projected
11,AZ- MESA,82.93,133,125,146,81.72,84.85,133 [125 - 146],82.93% [81.72% - 84.85%],58,34,96,05-18-2021,projected
12,AZ- PHOENIX,81.82,318,296,350,81.02,83.12,318 [296 - 350],81.82% [81.02% - 83.12%],138,77,236,05-18-2021,projected
14,AZ- SUN CITY,81.23,21,20,23,80.74,81.98,21 [20 - 23],81.23% [80.74% - 81.98%],10,6,16,05-18-2021,projected
15,AZ- TUCSON,80.99,52,47,61,80.52,81.94,52 [47 - 61],80.99% [80.52% - 81.94%],25,13,49,05-18-2021,projected
16,AR- FORT SMITH,83.67,93,77,161,80.47,97.72,93 [77 - 161],83.67% [80.47% - 97.72%],47,6,227,05-18-2021,projected
18,AR- JONESBORO,81.88,37,33,46,81.11,84.42,37 [33 - 46],81.88% [81.11% - 84.42%],17,10,40,05-18-2021,projected
19,AR- LITTLE ROCK,84.16,491,436,658,81.63,92.02,491 [436 - 658],84.16% [81.63% - 92.02%],240,94,694,05-18-2021,projected
