name,Region,Last Update,Confirmed,Deaths,Recovered
Afghanistan,Afghanistan,2020-05-01 23:00:00,2171,64,
Albania,Albania,2020-05-01 23:00:00,773,31,
Algeria,Algeria,2020-05-01 23:00:00,4006,450,
Andorra,Andorra,2020-05-01 23:00:00,746,42,
Angola,Angola,2020-05-01 23:00:00,27,2,
Anguilla,Anguilla,2020-05-01 23:00:00,3,0,
Antigua and Barbuda,Antigua and Barbuda,2020-05-01 23:00:00,24,3,
Armenia,Armenia,2020-05-01 23:00:00,2148,33,
Aruba,Aruba,2020-05-01 23:00:00,100,2,
Australia,Australia,2020-05-01 23:00:00,6762,92,
Azerbaijan,Azerbaijan,2020-05-01 23:00:00,1804,24,
Bahamas,Bahamas,2020-05-01 23:00:00,80,11,
Bahrain,Bahrain,2020-05-01 23:00:00,3169,8,
Bangladesh,Bangladesh,2020-05-01 23:00:00,8238,170,
Barbados,Barbados,2020-05-01 23:00:00,80,7,
Belarus,Belarus,2020-05-01 23:00:00,14027,89,
Belize,Belize,2020-05-01 23:00:00,18,2,
Benin,Benin,2020-05-01 23:00:00,84,2,
Bermuda,Bermuda,2020-05-01 23:00:00,111,6,
Bhutan,Bhutan,2020-05-01 23:00:00,7,0,
Bolivia,Bolivia,2020-05-01 23:00:00,1110,59,
Bosnia and Herzegovina,Bosnia and Herzegovina,2020-05-01 23:00:00,1782,69,
Botswana,Botswana,2020-05-01 23:00:00,23,1,
British Virgin Islands,British Virgin Islands,2020-05-01 23:00:00,6,1,
Brunei,Brunei,2020-05-01 23:00:00,138,1,
Bulgaria,Bulgaria,2020-05-01 23:00:00,1506,66,
Burkina Faso,Burkina Faso,2020-05-01 23:00:00,645,43,
Burundi,Burundi,2020-05-01 23:00:00,15,1,
Cabo Verde,Cabo Verde,2020-05-01 23:00:00,121,1,
Cambodia,Cambodia,2020-05-01 23:00:00,122,0,
Cameroon,Cameroon,2020-05-01 23:00:00,1832,61,
Cayman Islands,Cayman Islands,2020-05-01 23:00:00,73,1,
Central African Republic,Central African Republic,2020-05-01 23:00:00,64,0,
Chad,Chad,2020-05-01 23:00:00,73,3,
Comoros,Comoros,2020-05-01 23:00:00,1,0,
Republic of the Congo,Republic of the Congo,2020-05-01 23:00:00,220,9,
Costa Rica,Costa Rica,2020-05-01 23:00:00,713,6,
Cote d'Ivoire,Cote d'Ivoire,2020-05-01 23:00:00,1275,14,
Croatia,Croatia,2020-05-01 23:00:00,2076,69,
Cuba,Cuba,2020-05-01 23:00:00,1501,61,
Curacao,Curacao,2020-05-01 23:00:00,16,1,
Cyprus,Cyprus,2020-05-01 23:00:00,850,20,
Czech Republic,Czech Republic,2020-05-01 23:00:00,7682,236,
Democratic Republic of the Congo,Democratic Republic of the Congo,2020-05-01 23:00:00,572,31,
Denmark,Denmark,2020-05-01 23:00:00,9158,452,
Djibouti,Djibouti,2020-05-01 23:00:00,1097,2,
Dominica,Dominica,2020-05-01 23:00:00,16,0,
Dominican Republic,Dominican Republic,2020-05-01 23:00:00,6972,301,
Ecuador,Ecuador,2020-05-01 23:00:00,24934,900,
Egypt,Egypt,2020-05-01 23:00:00,5895,406,
El Salvador,El Salvador,2020-05-01 23:00:00,395,9,
Equatorial Guinea,Equatorial Guinea,2020-05-01 23:00:00,315,2,
Eritrea,Eritrea,2020-05-01 23:00:00,39,0,
Estonia,Estonia,2020-05-01 23:00:00,1689,52,
eSwatini,eSwatini,2020-05-01 23:00:00,100,1,
Ethiopia,Ethiopia,2020-05-01 23:00:00,131,3,
Falkland Islands (Islas Malvinas),Falkland Islands (Islas Malvinas),2020-05-01 23:00:00,13,0,
Faroe Islands,Faroe Islands,2020-05-01 23:00:00,187,0,
Fiji,Fiji,2020-05-01 23:00:00,18,0,
Finland,Finland,2020-05-01 23:00:00,4995,211,
France,France,2020-05-01 23:00:00,128121,24342,
French Guiana,French Guiana,2020-05-01 23:00:00,126,1,
French Polynesia,French Polynesia,2020-05-01 23:00:00,58,0,
Gabon,Gabon,2020-05-01 23:00:00,276,3,
Gambia,Gambia,2020-05-01 23:00:00,12,1,
Georgia (country),Georgia,2020-05-01 23:00:00,566,6,
Ghana,Ghana,2020-05-01 23:00:00,2074,17,
Gibraltar,Gibraltar,2020-05-01 23:00:00,141,0,
Greenland,Greenland,2020-05-01 23:00:00,11,0,
Grenada,Grenada,2020-05-01 23:00:00,20,0,
Guadeloupe,Guadeloupe,2020-05-01 23:00:00,152,12,
Guatemala,Guatemala,2020-05-01 23:00:00,585,16,
Guernsey,Guernsey,2020-05-01 23:00:00,251,13,
Guinea,Guinea,2020-05-01 23:00:00,1495,7,
Guinea-Bissau,Guinea-Bissau,2020-05-01 23:00:00,201,1,
Guyana,Guyana,2020-05-01 23:00:00,78,8,
Haiti,Haiti,2020-05-01 23:00:00,76,7,
Vatican City,Vatican City,2020-05-01 23:00:00,11,0,
Honduras,Honduras,2020-05-01 23:00:00,771,71,
Hungary,Hungary,2020-05-01 23:00:00,2863,323,
Iceland,Iceland,2020-05-01 23:00:00,1797,10,
Indonesia,Indonesia,2020-05-01 23:00:00,10551,800,
Iran,Iran,2020-05-01 23:00:00,95646,6091,
Iraq,Iraq,2020-05-01 23:00:00,2085,93,
Ireland,Ireland,2020-05-01 23:00:00,20612,1232,
Isle of Man,Isle of Man,2020-05-01 23:00:00,311,22,
Israel,Israel,2020-05-01 23:00:00,16004,223,
Jamaica,Jamaica,2020-05-01 23:00:00,396,7,
Japan,Japan,2020-05-01 23:00:00,14281,432,
Jersey,Jersey,2020-05-01 23:00:00,290,20,
Jordan,Jordan,2020-05-01 23:00:00,453,8,
Kazakhstan,Kazakhstan,2020-05-01 23:00:00,3551,25,
Kenya,Kenya,2020-05-01 23:00:00,396,17,
Kosovo,Kosovo,2020-05-01 23:00:00,799,22,
Kuwait,Kuwait,2020-05-01 23:00:00,4377,30,
Kyrgyzstan,Kyrgyzstan,2020-05-01 23:00:00,756,8,
Laos,Laos,2020-05-01 23:00:00,19,0,
Latvia,Latvia,2020-05-01 23:00:00,858,15,
Lebanon,Lebanon,2020-05-01 23:00:00,729,24,
Liberia,Liberia,2020-05-01 23:00:00,141,16,
Libya,Libya,2020-05-01 23:00:00,63,3,
Liechtenstein,Liechtenstein,2020-05-01 23:00:00,83,1,
Lithuania,Lithuania,2020-05-01 23:00:00,1385,45,
Luxembourg,Luxembourg,2020-05-01 23:00:00,3784,90,
Madagascar,Madagascar,2020-05-01 23:00:00,132,0,
Malawi,Malawi,2020-05-01 23:00:00,37,3,
Malaysia,Malaysia,2020-05-01 23:00:00,6002,102,
Maldives,Maldives,2020-05-01 23:00:00,468,1,
