USA,5862116
Brazil,3622861
India,3231754
Russia,966189
South Africa,611450
Peru,600438
Mexico,563705
Colombia,551696
Spain,412553
Chile,400985
Iran,363363
Argentina,350854
United Kingdom,326618
Saudi Arabia,309768
Bangladesh,299628
Pakistan,293711
Turkey,261194
Italy,261174
France,248158
Germany,237082
Iraq,211947
Philippines,197164
Indonesia,157859
Kazakhstan,127462
Canada,125647
Qatar,117498
Bolivia,110148
Ukraine,108415
Ecuador,108289
Israel,105063
Egypt,97478
Dominican Republic,91608
Panama,87485
Sweden,86891
Oman,84652
Mainland China,83882
Belgium,82092
Kuwait,81573
Romania,80390
Belarus,70727
Guatemala,68533
United Arab Emirates,67621
Netherlands,67062
Japan,63121
Poland,63073
Singapore,56404
Portugal,55912
Honduras,55479
Morocco,53252
Nigeria,52548
Bahrain,49719
Ghana,43622
Kyrgyzstan,43245
Armenia,42936
Ethiopia,42143
Algeria,41858
Switzerland,39959
Uzbekistan,39641
Venezuela,39564
Afghanistan,38070
Azerbaijan,35426
Costa Rica,34463
Moldova,33828
Nepal,33533
Kenya,32557
Serbia,30714
Ireland,28201
Austria,25706
Palestine,25577
Australia,25053
El Salvador,24986
Czech Republic,22414
Cameroon,18973
Bosnia and Herzegovina,18027
South Korea,17945
Cote d'Ivoire,17506
Denmark,16480
Bulgaria,15287
Madagascar,14402
North Macedonia,13799
Paraguay,13602
Lebanon,13155
Senegal,13013
Sudan,12903
Kosovo,12504
Zambia,11148
Libya,11009
Norway,10395
Democratic Republic of the Congo,9841
Malaysia,9285
Guinea,9076
Greece,8987
French Guiana,8875
Albania,8605
Gabon,8409
Tajikistan,8346
Croatia,8311
Haiti,8110
Finland,7981
Luxembourg,7794
Mauritania,6928
Maldives,6912
Namibia,6160
Zimbabwe,6070
Malawi,5419
Djibouti,5383
Hungary,5215
Equatorial Guinea,4926
Central African Republic,4679
Hong Kong,4658
Montenegro,4389
Nicaragua,4311
eSwatini,3989
Republic of the Congo,3831
Cuba,3717
Suriname,3632
Cabo Verde,3532
Mozambique,3440
Slovakia,3424
Thailand,3402
Rwanda,3306
Somalia,3269
Mayotte,3237
Sri Lanka,2959
Tunisia,2893
Mali,2708
Lithuania,2694
Slovenia,2686
Gambia,2585
South Sudan,2507
Uganda,2362
Estonia,2294
Syria,2293
Angola,2222
Guinea-Bissau,2149
Benin,2115
Iceland,2077
Sierra Leone,2001
Yemen,1920
Bahamas,1798
Aruba,1670
Malta,1667
Jordan,1639
Botswana,1562
Uruguay,1533
Jamaica,1529
Cyprus,1460
Georgia,1351
New Zealand,1339
Latvia,1337
Burkina Faso,1328
Togo,1295
Liberia,1286
Reunion,1244
Niger,1172
Trinidad and Tobago,1099
Andorra,1060
Lesotho,1049
Guyana,1029
Vietnam,1022
Chad,987
São Tomé and Príncipe,892
Guadeloupe,771
San Marino,726
Belize,713
Japan (Diamond Princess),712
Tanzania,509
Taiwan,487
Myanmar,474
Martinique,464
Burundi,430
Comoros,417
Faroe Islands,410
Sint Maarten,408
Papua New Guinea,401
Turks and Caicos Islands,383
French Polynesia,372
Jersey,364
Mauritius,346
Isle of Man,336
Eritrea,306
Mongolia,298
Cambodia,273
Guernsey,252
Gibraltar,246
Cayman Islands,205
Saint Martin,176
Bermuda,167
Barbados,161
Bhutan,156
Monaco,148
Brunei,143
Seychelles,132
Liechtenstein,101
Antigua and Barbuda,94
Saint Vincent and the Grenadines,58
Curacao,47
Macau,46
Fiji,28
Timor-Leste,26
Saint Lucia,26
Grenada,24
New Caledonia,23
Laos,22
British Virgin Islands,21
Dominica,20
Saint Kitts and Nevis,17
Greenland,14
Falkland Islands (Islas Malvinas),13
Montserrat,13
Saint Barthelemy,13
Vatican City,12
Saint Pierre and Miquelon,5
Anguilla,3
