name,Region,Last Update,Confirmed,Deaths,Recovered
Afghanistan,Afghanistan,2020-03-25 23:00:00,74,1,
Albania,Albania,2020-03-25 23:00:00,146,5,
Algeria,Algeria,2020-03-25 23:00:00,264,17,
Andorra,Andorra,2020-03-25 23:00:00,188,1,
Angola,Angola,2020-03-25 23:00:00,2,0,
Antigua and Barbuda,Antigua and Barbuda,2020-03-25 23:00:00,3,0,
Armenia,Armenia,2020-03-25 23:00:00,265,0,
Aruba,Aruba,2020-03-25 23:00:00,12,0,
Australia,Australia,2020-03-25 23:00:00,2423,8,
Austria,Austria,2020-03-25 23:00:00,5282,30,
Azerbaijan,Azerbaijan,2020-03-25 23:00:00,87,1,
Bahamas,Bahamas,2020-03-25 23:00:00,4,0,
Bahrain,Bahrain,2020-03-25 23:00:00,419,3,
Bangladesh,Bangladesh,2020-03-25 23:00:00,39,4,
Barbados,Barbados,2020-03-25 23:00:00,18,0,
Belarus,Belarus,2020-03-25 23:00:00,81,0,
Belgium,Belgium,2020-03-25 23:00:00,4269,122,
Belize,Belize,2020-03-25 23:00:00,1,0,
Benin,Benin,2020-03-25 23:00:00,5,0,
Bermuda,Bermuda,2020-03-25 23:00:00,6,0,
Bhutan,Bhutan,2020-03-25 23:00:00,2,0,
Bolivia,Bolivia,2020-03-25 23:00:00,28,0,
Bosnia and Herzegovina,Bosnia and Herzegovina,2020-03-25 23:00:00,164,2,
Brunei,Brunei,2020-03-25 23:00:00,104,0,
Bulgaria,Bulgaria,2020-03-25 23:00:00,220,3,
Burkina Faso,Burkina Faso,2020-03-25 23:00:00,114,3,
Cabo Verde,Cabo Verde,2020-03-25 23:00:00,3,0,
Cambodia,Cambodia,2020-03-25 23:00:00,91,0,
Cameroon,Cameroon,2020-03-25 23:00:00,70,1,
Cayman Islands,Cayman Islands,2020-03-25 23:00:00,5,1,
Central African Republic,Central African Republic,2020-03-25 23:00:00,4,0,
Chad,Chad,2020-03-25 23:00:00,3,0,
Republic of the Congo,Republic of the Congo,2020-03-25 23:00:00,4,0,
Costa Rica,Costa Rica,2020-03-25 23:00:00,177,2,
Cote d'Ivoire,Cote d'Ivoire,2020-03-25 23:00:00,72,0,
Croatia,Croatia,2020-03-25 23:00:00,382,1,
Cuba,Cuba,2020-03-25 23:00:00,48,1,
Curacao,Curacao,2020-03-25 23:00:00,6,1,
Cyprus,Cyprus,2020-03-25 23:00:00,124,3,
Czech Republic,Czech Republic,2020-03-25 23:00:00,1394,3,
Democratic Republic of the Congo,Democratic Republic of the Congo,2020-03-25 23:00:00,45,2,
Denmark,Denmark,2020-03-25 23:00:00,1591,32,
Djibouti,Djibouti,2020-03-25 23:00:00,12,0,
Dominica,Dominica,2020-03-25 23:00:00,2,0,
Dominican Republic,Dominican Republic,2020-03-25 23:00:00,312,6,
Ecuador,Ecuador,2020-03-25 23:00:00,1049,8,
Egypt,Egypt,2020-03-25 23:00:00,442,21,
El Salvador,El Salvador,2020-03-25 23:00:00,5,0,
Equatorial Guinea,Equatorial Guinea,2020-03-25 23:00:00,6,0,
Eritrea,Eritrea,2020-03-25 23:00:00,1,0,
Estonia,Estonia,2020-03-25 23:00:00,369,0,
eSwatini,eSwatini,2020-03-25 23:00:00,4,0,
Ethiopia,Ethiopia,2020-03-25 23:00:00,12,0,
Faroe Islands,Faroe Islands,2020-03-25 23:00:00,122,0,
Fiji,Fiji,2020-03-25 23:00:00,5,0,
Finland,Finland,2020-03-25 23:00:00,792,1,
France,France,2020-03-25 23:00:00,22025,1100,
