name,Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,2020-06-27 03:00:00,68135,4512,63623
Guangdong,Mainland China,2020-06-27 03:00:00,1634,8,1619
Henan,Mainland China,2020-06-27 03:00:00,1276,22,1254
Zhejiang,Mainland China,2020-06-27 03:00:00,1269,1,1267
Hunan,Mainland China,2020-06-27 03:00:00,1019,4,1015
Anhui,Mainland China,2020-06-27 03:00:00,991,6,985
Heilongjiang,Mainland China,2020-06-27 03:00:00,947,13,934
Jiangxi,Mainland China,2020-06-27 03:00:00,937,1,936
Shandong,Mainland China,2020-06-27 03:00:00,792,7,785
Jiangsu,Mainland China,2020-06-27 03:00:00,654,0,653
Sichuan,Mainland China,2020-06-27 03:00:00,589,3,572
Beijing,Mainland China,2020-06-27 03:00:00,587,8,443
Chongqing,Mainland China,2020-06-27 03:00:00,579,6,570
Shanghai,Mainland China,2020-06-27 03:00:00,536,6,383
Fujian,Mainland China,2020-06-27 03:00:00,363,1,357
Hebei,Mainland China,2020-06-27 03:00:00,346,6,323
Shaanxi,Mainland China,2020-06-27 03:00:00,317,3,307
Guangxi,Mainland China,2020-06-27 03:00:00,254,2,252
Nei Mongol,Mainland China,2020-06-27 03:00:00,238,1,236
Shanxi,Mainland China,2020-06-27 03:00:00,198,0,198
Yunnan,Mainland China,2020-06-27 03:00:00,185,2,183
Tianjin,Mainland China,2020-06-27 03:00:00,180,3,144
Hainan,Mainland China,2020-06-27 03:00:00,171,6,163
Gansu,Mainland China,2020-06-27 03:00:00,158,2,137
Jilin,Mainland China,2020-06-27 03:00:00,155,2,153
Liaoning,Mainland China,2020-06-27 03:00:00,154,2,147
Guizhou,Mainland China,2020-06-27 03:00:00,147,2,145
Xinjiang Uygur,Mainland China,2020-06-27 03:00:00,76,3,73
Ningxia,Mainland China,2020-06-27 03:00:00,75,0,75
Qinghai,Mainland China,2020-06-27 03:00:00,18,0,18
Xizang,Mainland China,2020-06-27 03:00:00,1,0,1
Brazil,Brazil,2020-06-27 03:00:00,1280054,56109,697526
Russia,Russia,2020-06-27 03:00:00,620794,8781,384152
United Kingdom,United Kingdom,2020-06-27 03:00:00,309360,43414,
Peru,Peru,2020-06-27 03:00:00,272364,8939,159806
Chile,Chile,2020-06-27 03:00:00,263360,5068,
Spain,Spain,2020-06-27 03:00:00,247905,28371,150376
Italy,Italy,2020-06-27 03:00:00,239961,34708,187615
Iran,Iran,2020-06-27 03:00:00,217724,10239,177852
Mexico,Mexico,2020-06-27 03:00:00,208392,25779,120562
Pakistan,Pakistan,2020-06-27 03:00:00,195745,3962,84168
Turkey,Turkey,2020-06-27 03:00:00,194511,5065,167198
Germany,Germany,2020-06-27 03:00:00,194399,9024,177048
Saudi Arabia,Saudi Arabia,2020-06-27 03:00:00,174577,1474,120471
France,France,2020-06-27 03:00:00,162936,29752,75351
Bangladesh,Bangladesh,2020-06-27 03:00:00,130474,1661,53133
South Africa,South Africa,2020-06-27 03:00:00,124590,2340,64111
Qatar,Qatar,2020-06-27 03:00:00,92784,109,76072
Colombia,Colombia,2020-06-27 03:00:00,84442,2811,34937
Sweden,Sweden,2020-06-27 03:00:00,65137,5280,
Egypt,Egypt,2020-06-27 03:00:00,62755,2620,16737
Belgium,Belgium,2020-06-27 03:00:00,61106,9739,16918
Belarus,Belarus,2020-06-27 03:00:00,60713,373,42689
