region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update,Type
1,AL- BIRMINGHAM,122.38,2047,1856,2451,98.57,172.2,2047 [1856 - 2451],122.38% [98.57% - 172.2%],3579,1568,7786,05-18-2021,projected
2,AL- DOTHAN,98.22,172,159,203,88.96,118.93,172 [159 - 203],98.22% [88.96% - 118.93%],242,119,517,05-18-2021,projected
5,AL- HUNTSVILLE,94.52,197,179,245,85.8,115.59,197 [179 - 245],94.52% [85.8% - 115.59%],273,109,669,05-18-2021,projected
6,AL- MOBILE,83.96,84,77,102,81.65,89.45,84 [77 - 102],83.96% [81.65% - 89.45%],113,47,270,05-18-2021,projected
7,AL- MONTGOMERY,103.29,262,234,362,87.31,164.86,262 [234 - 362],103.29% [87.31% - 164.86%],360,113,1312,05-18-2021,projected
9,AL- TUSCALOOSA,84.81,31,28,37,81.8,88.82,31 [28 - 37],84.81% [81.8% - 88.82%],48,18,88,05-18-2021,projected
11,AZ- MESA,87.02,89,81,106,83.33,95.66,89 [81 - 106],87.02% [83.33% - 95.66%],139,66,310,05-18-2021,projected
12,AZ- PHOENIX,84.24,210,192,254,81.9,89.89,210 [192 - 254],84.24% [81.9% - 89.89%],321,144,749,05-18-2021,projected
14,AZ- SUN CITY,82.96,14,13,17,81.36,86.54,14 [13 - 17],82.96% [81.36% - 86.54%],24,11,53,05-18-2021,projected
15,AZ- TUCSON,82.26,42,37,49,80.63,85.07,42 [37 - 49],82.26% [80.63% - 85.07%],57,16,128,05-18-2021,projected
16,AR- FORT SMITH,80.0,0,0,10,80.0,85.0,0 [0 - 10],80.0% [80.0% - 85.0%],0,0,64,05-18-2021,projected
18,AR- JONESBORO,82.21,14,12,16,80.0,83.32,14 [12 - 16],82.21% [80.0% - 83.32%],20,0,30,05-18-2021,projected
19,AR- LITTLE ROCK,84.75,193,175,256,81.72,93.96,193 [175 - 256],84.75% [81.72% - 93.96%],274,99,806,05-18-2021,projected
21,AR- SPRINGDALE,88.51,68,60,78,82.46,96.84,68 [60 - 78],88.51% [82.46% - 96.84%],90,26,178,05-18-2021,projected
22,AR- TEXARKANA,90.0,67,61,80,84.39,101.33,67 [61 - 80],90.0% [84.39% - 101.33%],98,43,209,05-18-2021,projected
23,CA- ORANGE CO.,80.03,0,0,2,80.0,80.22,0 [0 - 2],80.03% [80.0% - 80.22%],2,0,17,05-18-2021,projected
25,CA- BAKERSFIELD,81.02,21,18,30,80.28,83.24,21 [18 - 30],81.02% [80.28% - 83.24%],37,10,117,05-18-2021,projected
31,CA- CHICO,81.72,7,6,8,81.56,83.59,7 [6 - 8],81.72% [81.56% - 83.59%],11,10,23,05-18-2021,projected
33,CA- CONTRA COSTA CO.,81.0,14,12,16,80.35,82.05,14 [12 - 16],81.0% [80.35% - 82.05%],20,7,41,05-18-2021,projected
43,CA- FRESNO,80.13,0,0,2,80.04,80.96,0 [0 - 2],80.13% [80.04% - 80.96%],3,1,22,05-18-2021,projected
56,CA- LOS ANGELES,80.05,3,2,5,80.0,80.15,3 [2 - 5],80.05% [80.0% - 80.15%],12,0,37,05-18-2021,projected
58,CA- MODESTO,80.0,0,0,1,80.0,80.76,0 [0 - 1],80.0% [80.0% - 80.76%],0,0,13,05-18-2021,projected
62,CA- NAPA,82.23,7,6,9,80.0,83.78,7 [6 - 9],82.23% [80.0% - 83.78%],13,0,22,05-18-2021,projected
65,CA- ALAMEDA CO.,80.65,7,6,10,80.36,81.21,7 [6 - 10],80.65% [80.36% - 81.21%],22,12,41,05-18-2021,projected
69,CA- PALM SPR/RANCHO MIR.,80.19,0,0,0,80.0,80.38,0 [0 - 0],80.19% [80.0% - 80.38%],2,0,4,05-18-2021,projected
73,CA- REDDING,84.81,29,25,35,81.11,88.13,29 [25 - 35],84.81% [81.11% - 88.13%],52,12,88,05-18-2021,projected
77,CA- SACRAMENTO,80.63,17,15,19,80.27,81.67,17 [15 - 19],80.63% [80.27% - 81.67%],30,13,80,05-18-2021,projected
78,CA- SALINAS,80.0,0,0,1,80.0,81.51,0 [0 - 1],80.0% [80.0% - 81.51%],0,0,12,05-18-2021,projected
79,CA- SAN BERNARDINO,80.1,4,3,6,80.0,80.47,4 [3 - 6],80.1% [80.0% - 80.47%],6,0,27,05-18-2021,projected
80,CA- SAN DIEGO,80.6,19,16,23,80.18,81.11,19 [16 - 23],80.6% [80.18% - 81.11%],42,13,78,05-18-2021,projected
81,CA- SAN FRANCISCO,80.34,7,6,9,80.04,80.73,7 [6 - 9],80.34% [80.04% - 80.73%],17,2,37,05-18-2021,projected
82,CA- SAN JOSE,80.26,0,0,1,80.0,80.36,0 [0 - 1],80.26% [80.0% - 80.36%],8,0,11,05-18-2021,projected
83,CA- SAN LUIS OBISPO,80.0,0,0,0,80.0,80.0,0 [0 - 0],80.0% [80.0% - 80.0%],0,0,0,05-18-2021,projected
85,CA- SAN MATEO CO.,80.04,0,0,1,80.0,80.48,0 [0 - 1],80.04% [80.0% - 80.48%],1,0,13,05-18-2021,projected
86,CA- SANTA BARBARA,80.0,0,0,0,80.0,80.0,0 [0 - 0],80.0% [80.0% - 80.0%],0,0,0,05-18-2021,projected
87,CA- SANTA CRUZ,80.0,0,0,0,80.0,80.28,0 [0 - 0],80.0% [80.0% - 80.28%],0,0,1,05-18-2021,projected
89,CA- SANTA ROSA,80.16,0,0,1,80.0,80.7,0 [0 - 1],80.16% [80.0% - 80.7%],3,0,13,05-18-2021,projected
91,CA- STOCKTON,80.0,0,0,1,80.0,80.94,0 [0 - 1],80.0% [80.0% - 80.94%],0,0,10,05-18-2021,projected
96,CA- VENTURA,80.0,0,0,1,80.0,80.76,0 [0 - 1],80.0% [80.0% - 80.76%],0,0,12,05-18-2021,projected
101,CO- BOULDER,81.05,0,0,1,80.21,81.47,0 [0 - 1],81.05% [80.21% - 81.47%],5,1,7,05-18-2021,projected
102,CO- COLORADO SPRINGS,91.01,61,55,71,84.64,100.39,61 [55 - 71],91.01% [84.64% - 100.39%],114,48,211,05-18-2021,projected
103,CO- DENVER,84.4,118,107,136,82.16,88.02,118 [107 - 136],84.4% [82.16% - 88.02%],210,103,383,05-18-2021,projected
104,CO- FORT COLLINS,84.38,13,11,16,80.94,87.36,13 [11 - 16],84.38% [80.94% - 87.36%],28,6,47,05-18-2021,projected
105,CO- GRAND JUNCTION,85.3,28,26,32,82.4,89.6,28 [26 - 32],85.3% [82.4% - 89.6%],42,19,76,05-18-2021,projected
106,CO- GREELEY,82.83,14,13,15,80.9,84.25,14 [13 - 15],82.83% [80.9% - 84.25%],22,7,33,05-18-2021,projected
107,CO- PUEBLO,80.75,7,6,7,80.5,81.38,7 [6 - 7],80.75% [80.5% - 81.38%],6,4,11,05-18-2021,projected
109,CT- BRIDGEPORT,80.12,0,0,1,80.0,80.35,0 [0 - 1],80.12% [80.0% - 80.35%],2,0,6,05-18-2021,projected
110,CT- HARTFORD,80.55,10,9,12,80.25,80.95,10 [9 - 12],80.55% [80.25% - 80.95%],18,8,31,05-18-2021,projected
