Name,Region,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Last Update,FIPS/ID,Recovered,newRecovered,Active,newActive
Baden-Wurttemberg,Germany,1338,333,,,,,,,2020-03-16 21:00:00,140003865,,,,
Bavaria,Germany,1049,150,,,,,,,2020-03-16 21:00:00,140003864,,,,
Berlin,Germany,283,0,,,,,,,2020-03-16 21:00:00,140003662,,,,
Brandenburg,Germany,84,0,,,,,,,2020-03-16 21:00:00,140003858,,,,
Bremen,Germany,56,0,,,,,,,2020-03-16 21:00:00,140003869,,,,
Hamburg,Germany,196,0,,,,,,,2020-03-16 21:00:00,140003859,,,,
Hesse,Germany,286,0,,,,,,,2020-03-16 21:00:00,140003866,,,,
Mecklenburg-Western Pomerania,Germany,50,0,,,,,,,2020-03-16 21:00:00,140003872,,,,
Lower Saxony,Germany,287,0,,,,,,,2020-03-16 21:00:00,140003870,,,,
North Rhine-Westphalia,Germany,2493,380,,,,,,,2020-03-16 21:00:00,140003860,,,,
Rhineland-Palatinate,Germany,200,0,,,,,,,2020-03-16 21:00:00,140003868,,,,
Saarland,Germany,74,0,,,,,,,2020-03-16 21:00:00,140003861,,,,
Saxony,Germany,134,4,,,,,,,2020-03-16 21:00:00,140003863,,,,
Saxony-Anhalt,Germany,60,13,,,,,,,2020-03-16 21:00:00,140003862,,,,
Schleswig-Holstein,Germany,129,26,,,,,,,2020-03-16 21:00:00,140003871,,,,
Thuringia,Germany,51,0,,,,,,,2020-03-16 21:00:00,140003867,,,,
Ontario,Canada,177,32,,,,,,,2020-03-16 21:00:00,140002875,,,,
British Columbia,Canada,103,30,,,,,,,2020-03-16 21:00:00,140002874,,,,
Alberta,Canada,74,18,,,,,,,2020-03-16 21:00:00,140002879,,,,
Quebec,Canada,50,11,,,,,,,2020-03-16 21:00:00,140002869,,,,
Manitoba,Canada,8,1,,,,,,,2020-03-16 21:00:00,140002877,,,,
New Brunswick,Canada,7,1,,,,,,,2020-03-16 21:00:00,140002928,,,,
Grand pricess,Canada,8,4,,,,,,,2020-03-16 21:00:00,,,,,
Saskatchewan,Canada,7,1,,,,,,,2020-03-16 21:00:00,140002878,,,,
Nova Scotia,Canada,5,2,,,,,,,2020-03-16 21:00:00,140002929,,,,
Prince Edward Island,Canada,1,0,,,,,,,2020-03-16 21:00:00,140002931,,,,
Newfoundland,Canada,1,0,,,,,,,2020-03-16 21:00:00,140002930,,,,
Antofagasta,Chile,2,0,,,,,,,2020-03-16 16:00:00,140003347,,,,
Atacama,Chile,1,0,,,,,,,2020-03-16 16:00:00,140003339,,,,
Valparaiso,Chile,1,1,,,,,,,2020-03-16 16:00:00,140003346,,,,
Region Metropolitana,Chile,123,69,,,,,,,2020-03-16 16:00:00,140003345,,,,
Maule,Chile,9,0,,,,,,,2020-03-16 16:00:00,140003344,,,,
Ñuble,Chile,12,8,,,,,,,2020-03-16 16:00:00,,,,,
Biobío,Chile,4,1,,,,,,,2020-03-16 16:00:00,140003340,,,,
Los Rios,Chile,1,1,,,,,,,2020-03-16 16:00:00,140003343,,,,
Los Lagos,Chile,1,0,,,,,,,2020-03-16 16:00:00,140003342,,,,
Aysén,Chile,1,0,,,,,,,2020-03-16 16:00:00,140003349,,,,
Maharashtra,India,39,7,,,,,,,2020-03-17 00:00:00,140004402,,,,
Kerala,India,27,3,,,,,,,2020-03-17 00:00:00,140001930,,,,
Haryana,India,14,0,,,,,,,2020-03-17 00:00:00,140001933,,,,
Uttar Pradesh,India,13,1,,,,,,,2020-03-17 00:00:00,140001926,,,,
Delhi,India,7,0,,,,,,,2020-03-17 00:00:00,140001944,,,,
Karnataka,India,8,1,,,,,,,2020-03-17 00:00:00,140004403,,,,
Rajasthan,India,4,0,,,,,,,2020-03-17 00:00:00,140001929,,,,
Telangana,India,3,0,,,,,,,2020-03-17 00:00:00,140004405,,,,
Tamil Nadu,India,1,0,,,,,,,2020-03-17 00:00:00,140001938,,,,
Punjab,India,1,0,,,,,,,2020-03-17 00:00:00,140001934,,,,
Uttarakhand,India,1,0,,,,,,,2020-03-17 00:00:00,140001932,,,,
Odisha,India,1,1,,,,,,,2020-03-17 00:00:00,140001936,,,,
Andhra Pradesh,India,1,0,,,,,,,2020-03-17 00:00:00,140004401,,,,
Jammu & Kashmir,India,7,2,,,,,,,2020-03-17 00:00:00,140001935,,,,
