Name,Region,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Last Update,FIPS/ID,Recovered,newRecovered,Active,newActive
Maharashtra,India,169883,5257,7610,181,93647,2506,68626,2570,2020-06-30 03:00:00,140004402,88960,2385,73313,2691
Tamil Nadu,India,86224,3949,1141,62,47749,2212,37334,1675,2020-06-30 03:00:00,140001938,47749,2212,37334,1675
Delhi,India,85161,2084,2680,57,56235,3628,26246,-1601,2020-06-30 03:00:00,140001944,56235,3628,26246,-1601
Gujarat,India,32023,626,1828,19,23248,440,6947,167,2020-06-30 03:00:00,140001927,23248,440,6947,167
Uttar Pradesh,India,22828,681,672,12,15506,698,6650,-29,2020-06-30 03:00:00,140001926,15506,698,6650,-29
Rajasthan,India,17660,389,405,6,13921,310,3334,73,2020-06-30 03:00:00,140001929,13921,310,3334,73
West Bengal,India,17907,624,653,14,11719,526,5535,84,2020-06-30 03:00:00,140001940,11719,526,5535,84
Madhya Pradesh,India,13370,184,564,7,10199,115,2607,62,2020-06-30 03:00:00,140001931,10199,115,2607,62
Haryana,India,14210,381,232,9,9502,585,4476,-213,2020-06-30 03:00:00,140001933,9502,585,4476,-213
State Unassigned,India,7285,-554,0,0,5647,-376,1638,-178,2020-06-30 03:00:00,,0,0,7285,-554
Karnataka,India,14295,1105,226,19,7685,176,6384,910,2020-06-30 03:00:00,140004403,7685,176,6384,910
Andhra Pradesh,India,13891,793,180,11,6232,324,7479,458,2020-06-30 03:00:00,140004401,6232,324,7479,458
Bihar,India,9618,394,63,1,7374,218,2181,175,2020-06-30 03:00:00,140001937,7374,218,2181,175
Telangana,India,15394,975,253,6,5582,410,9559,559,2020-06-30 03:00:00,140004405,5582,410,9559,559
Assam,India,7795,302,11,0,5334,245,2450,57,2020-06-30 03:00:00,140001939,5334,245,2450,57
Odisha,India,6859,245,30,2,4946,203,1883,40,2020-06-30 03:00:00,140001936,4946,203,1883,40
Punjab,India,5418,202,138,5,3764,238,1516,-41,2020-06-30 03:00:00,140001934,3764,238,1516,-41
Kerala,India,4312,122,24,1,2253,74,2035,47,2020-06-30 03:00:00,140001930,2229,79,2059,42
Uttarakhand,India,2831,8,39,1,2108,93,684,-86,2020-06-30 03:00:00,140001932,2108,93,684,-86
Chhattisgarh,India,2795,101,13,0,2150,88,632,13,2020-06-30 03:00:00,140004404,2150,88,632,13
Jharkhand,India,2426,62,15,3,1849,56,562,3,2020-06-30 03:00:00,140001943,1849,56,562,3
Tripura,India,1385,34,1,0,1092,6,292,28,2020-06-30 03:00:00,140001949,1092,6,292,28
Goa,India,1251,53,3,0,524,46,724,7,2020-06-30 03:00:00,140001956,524,46,724,7
Himachal Pradesh,India,942,26,8,0,556,38,378,-12,2020-06-30 03:00:00,140001941,556,38,378,-12
Manipur,India,1227,42,0,0,494,39,733,3,2020-06-30 03:00:00,140001942,494,39,733,3
Chandigarh,India,434,3,6,0,349,13,79,-10,2020-06-30 03:00:00,140001945,349,13,79,-10
Puducherry,India,690,42,11,0,262,10,417,32,2020-06-30 03:00:00,140001953,262,10,417,32
Nagaland,India,451,36,0,0,168,4,283,32,2020-06-30 03:00:00,140001950,168,4,283,32
Mizoram,India,151,0,0,0,98,4,53,-4,2020-06-30 03:00:00,140001928,61,6,90,-6
Arunachal Pradesh,India,187,5,1,0,78,5,108,0,2020-06-30 03:00:00,140002691,61,1,125,4
Sikkim,India,88,0,0,0,55,0,33,0,2020-06-30 03:00:00,140001951,49,0,39,0
