Name,Region,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Last Update,FIPS/ID,Recovered,newRecovered,Active,newActive
Maharashtra,India,4200,552,,,,,,,2020-04-19 21:00:00,140004402,,,,
Delhi,India,2003,110,,,,,,,2020-04-19 21:00:00,140001944,,,,
Gujarat,India,1743,367,,,,,,,2020-04-19 21:00:00,140001927,,,,
Tamil Nadu,India,1477,105,,,,,,,2020-04-19 21:00:00,140001938,,,,
Rajasthan,India,1478,127,,,,,,,2020-04-19 21:00:00,140001929,,,,
Madhya Pradesh,India,1407,5,,,,,,,2020-04-19 21:00:00,140001931,,,,
Uttar Pradesh,India,1100,126,,,,,,,2020-04-19 21:00:00,140001926,,,,
Telangana,India,858,49,,,,,,,2020-04-19 21:00:00,140004405,,,,
Andhra Pradesh,India,647,44,,,,,,,2020-04-19 21:00:00,140004401,,,,
Kerala,India,401,2,,,,,,,2020-04-19 21:00:00,140001930,,,,
Karnataka,India,390,6,,,,,,,2020-04-19 21:00:00,140004403,,,,
West Bengal,India,310,23,,,,,,,2020-04-19 21:00:00,140001940,,,,
Haryana,India,250,18,,,,,,,2020-04-19 21:00:00,140001933,,,,
Punjab,India,244,10,,,,,,,2020-04-19 21:00:00,140001934,,,,
Bihar,India,96,10,,,,,,,2020-04-19 21:00:00,140001937,,,,
Odisha,India,61,0,,,,,,,2020-04-19 21:00:00,140001936,,,,
Uttarakhand,India,44,2,,,,,,,2020-04-19 21:00:00,140001932,,,,
Himachal Pradesh,India,39,0,,,,,,,2020-04-19 21:00:00,140001941,,,,
Jharkhand,India,41,8,,,,,,,2020-04-19 21:00:00,140001943,,,,
Chhattisgarh,India,36,0,,,,,,,2020-04-19 21:00:00,140004404,,,,
Assam,India,34,0,,,,,,,2020-04-19 21:00:00,140001939,,,,
Chandigarh,India,26,3,,,,,,,2020-04-19 21:00:00,140001945,,,,
Andaman and Nicobar Islands,India,15,1,,,,,,,2020-04-19 21:00:00,140001955,,,,
Meghalaya,India,11,0,,,,,,,2020-04-19 21:00:00,140001952,,,,
Goa,India,7,0,,,,,,,2020-04-19 21:00:00,140001956,,,,
Puducherry,India,7,0,,,,,,,2020-04-19 21:00:00,140001953,,,,
Manipur,India,2,0,,,,,,,2020-04-19 21:00:00,140001942,,,,
Tripura,India,2,0,,,,,,,2020-04-19 21:00:00,140001949,,,,
Mizoram,India,1,0,,,,,,,2020-04-19 21:00:00,140001928,,,,
Arunachal Pradesh,India,1,0,,,,,,,2020-04-19 21:00:00,140002691,,,,
Nagaland,India,1,0,,,,,,,2020-04-19 21:00:00,140001950,,,,
Dadra and Nagar Haveli,India,0,0,,,,,,,2020-04-19 21:00:00,140001947,,,,
Daman & Diu,India,0,0,,,,,,,2020-04-19 21:00:00,140001948,,,,
Lakshadweep,India,0,0,,,,,,,2020-04-19 21:00:00,140001954,,,,
Sikkim,India,0,0,,,,,,,2020-04-19 21:00:00,140001951,,,,
British Columbia,Canada,1618,0,,,,,,,2020-04-19 19:00:00,140002874,,,,
Alberta,Canada,2562,0,,,,,,,2020-04-19 19:00:00,140002879,,,,
Saskatchewan,Canada,313,0,,,,,,,2020-04-19 19:00:00,140002878,,,,
Manitoba,Canada,253,0,,,,,,,2020-04-19 19:00:00,140002877,,,,
Ontario,Canada,10578,568,,,,,,,2020-04-19 19:00:00,140002875,,,,
Quebec,Canada,17521,0,,,,,,,2020-04-19 19:00:00,140002869,,,,
Newfoundland,Canada,257,0,,,,,,,2020-04-19 19:00:00,140002930,,,,
New Brunswick,Canada,118,0,,,,,,,2020-04-19 19:00:00,140002928,,,,
Nova Scotia,Canada,649,0,,,,,,,2020-04-19 19:00:00,140002929,,,,
Prince Edward Island,Canada,26,0,,,,,,,2020-04-19 19:00:00,140002931,,,,
Yukon,Canada,9,0,,,,,,,2020-04-19 19:00:00,140002880,,,,
Northwest Territories,Canada,5,0,,,,,,,2020-04-19 19:00:00,140002881,,,,
Nunavut,Canada,0,0,,,,,,,2020-04-19 19:00:00,140003914,,,,
Repatriated travellers,Canada,13,0,,,,,,,2020-04-19 19:00:00,,,,,
Lombardy,Italy,64135,0,,,,,,,2020-04-19 17:00:00,140000679,,,,
Emilia-Romagna,Italy,21834,0,,,,,,,2020-04-19 17:00:00,140000680,,,,
Piedmont,Italy,19815,0,,,,,,,2020-04-19 17:00:00,140000673,,,,
Veneto,Italy,15374,0,,,,,,,2020-04-19 17:00:00,140000678,,,,
Tuscany,Italy,8110,0,,,,,,,2020-04-19 17:00:00,140000675,,,,
Liguria,Italy,6208,0,,,,,,,2020-04-19 17:00:00,140000687,,,,
Marche,Italy,5668,0,,,,,,,2020-04-19 17:00:00,140000674,,,,
Lazio,Italy,5524,0,,,,,,,2020-04-19 17:00:00,140000686,,,,
Campania,Italy,3951,0,,,,,,,2020-04-19 17:00:00,140000676,,,,
Apulia,Italy,3327,0,,,,,,,2020-04-19 17:00:00,140000677,,,,
Friuli-Venezia Giulia,Italy,2675,0,,,,,,,2020-04-19 17:00:00,140000688,,,,
Sicily,Italy,2627,0,,,,,,,2020-04-19 17:00:00,140000672,,,,
Abruzzo,Italy,2443,0,,,,,,,2020-04-19 17:00:00,140000685,,,,
Umbria,Italy,1337,0,,,,,,,2020-04-19 17:00:00,140000690,,,,
Sardinia,Italy,1178,0,,,,,,,2020-04-19 17:00:00,140000682,,,,
Calabria,Italy,1009,0,,,,,,,2020-04-19 17:00:00,140000684,,,,
Valle d'aosta,Italy,993,0,,,,,,,2020-04-19 17:00:00,140000691,,,,
Basilicata,Italy,337,0,,,,,,,2020-04-19 17:00:00,140000689,,,,
Molise,Italy,269,0,,,,,,,2020-04-19 17:00:00,140000683,,,,
Daegu,South Korea,6827,0,,,,,,,2020-04-19 12:00:00,140004292,,,,
Gyeongsangbuk-do,South Korea,1356,0,,,,,,,2020-04-19 12:00:00,140004295,,,,
Gyeonggi-do,South Korea,650,0,,,,,,,2020-04-19 12:00:00,140004304,,,,
Seoul,South Korea,621,0,,,,,,,2020-04-19 12:00:00,140004303,,,,
Chungcheongnam-do,South Korea,139,0,,,,,,,2020-04-19 12:00:00,140004302,,,,
Busan,South Korea,130,0,,,,,,,2020-04-19 12:00:00,140004297,,,,
Gyeongsangnam-do,South Korea,115,0,,,,,,,2020-04-19 12:00:00,140004298,,,,
Incheon,South Korea,89,0,,,,,,,2020-04-19 12:00:00,140004305,,,,
Gangwon-do,South Korea,52,0,,,,,,,2020-04-19 12:00:00,140004294,,,,
Sejong,South Korea,46,0,,,,,,,2020-04-19 12:00:00,140004290,,,,
Chungcheongbuk-do,South Korea,45,0,,,,,,,2020-04-19 12:00:00,140004291,,,,
Ulsan,South Korea,42,0,,,,,,,2020-04-19 12:00:00,140004296,,,,
Daejeon,South Korea,40,0,,,,,,,2020-04-19 12:00:00,140004289,,,,
Gwangju,South Korea,30,0,,,,,,,2020-04-19 12:00:00,140004293,,,,
Jeollabuk-do,South Korea,17,0,,,,,,,2020-04-19 12:00:00,140004301,,,,
Jeollanam-do,South Korea,15,0,,,,,,,2020-04-19 12:00:00,140004300,,,,
Jeju-do,South Korea,13,0,,,,,,,2020-04-19 12:00:00,140004299,,,,
Flanders,Belgium,20482,0,,,,,,,2020-04-19 12:00:00,,,,,
Walloon Brabant,Belgium,10304,0,,,,,,,2020-04-19 12:00:00,140003274,,,,
Brussels,Belgium,3457,0,,,,,,,2020-04-19 12:00:00,140003275,,,,
Attica,Greece,718,0,,,,,,,2020-04-19 21:00:00,140000004,,,,
Aegean Islands,Greece,9,0,,,,,,,2020-04-19 21:00:00,,,,,
Thrace,Greece,24,0,,,,,,,2020-04-19 21:00:00,,,,,
Macedonia,Greece,122,0,,,,,,,2020-04-19 21:00:00,,,,,
Epirus,Greece,7,0,,,,,,,2020-04-19 21:00:00,140000010,,,,
Thessaly,Greece,14,0,,,,,,,2020-04-19 21:00:00,140000001,,,,
Peloponnese,Greece,78,0,,,,,,,2020-04-19 21:00:00,140000006,,,,
Dodecanese,Greece,2,0,,,,,,,2020-04-19 21:00:00,,,,,
Greece Central,Greece,6,0,,,,,,,2020-04-19 21:00:00,140000011,,,,
Crete,Greece,12,0,,,,,,,2020-04-19 21:00:00,140000012,,,,
Ionian Islands,Greece,7,0,,,,,,,2020-04-19 21:00:00,140000008,,,,
Cyclades,Greece,1,0,,,,,,,2020-04-19 21:00:00,,,,,
Undefined Location,Greece,162,0,,,,,,,2020-04-19 21:00:00,,,,,
Cruize Ship,Greece,119,0,,,,,,,2020-04-19 21:00:00,,,,,
Arica y Parinacota,Chile,145,3,,,,,,,2020-04-19 17:00:00,140002799,,,,
Tarapaca,Chile,90,9,,,,,,,2020-04-19 17:00:00,140002800,,,,
Antofagasta,Chile,249,23,,,,,,,2020-04-19 17:00:00,140003347,,,,
Atacama,Chile,13,0,,,,,,,2020-04-19 17:00:00,140003339,,,,
Coquimbo,Chile,68,0,,,,,,,2020-04-19 17:00:00,140003341,,,,
Valparaiso,Chile,381,22,,,,,,,2020-04-19 17:00:00,140003346,,,,
Region Metropolitana,Chile,5381,189,,,,,,,2020-04-19 17:00:00,140003345,,,,
Libertador General Bernardo O'Higgins,Chile,55,0,,,,,,,2020-04-19 17:00:00,140003348,,,,
Maule,Chile,302,26,,,,,,,2020-04-19 17:00:00,140003344,,,,
Ñuble,Chile,678,11,,,,,,,2020-04-19 17:00:00,,,,,
Biobío,Chile,616,10,,,,,,,2020-04-19 17:00:00,140003340,,,,
Araucania,Chile,972,28,,,,,,,2020-04-19 17:00:00,140003338,,,,
Los Rios,Chile,157,1,,,,,,,2020-04-19 17:00:00,140003343,,,,
Los Lagos,Chile,421,5,,,,,,,2020-04-19 17:00:00,140003342,,,,
Aysén,Chile,7,0,,,,,,,2020-04-19 17:00:00,140003349,,,,
Magallanes y de la Antarctica,Chile,553,31,,,,,,,2020-04-19 17:00:00,140003350,,,,
Lima Province,Peru,10877,643,,,,,,,2020-04-19 20:00:00,140003304,,,,
Callao,Peru,1239,59,,,,,,,2020-04-19 20:00:00,140003303,,,,
Lambayeque,Peru,671,29,,,,,,,2020-04-19 20:00:00,140003322,,,,
