Name,Region,Confirmed,newConfirmed,Deaths,newDeaths,Est.Recovered,newEst.Recovered,Est.Active,newEst.Active,Last Update,FIPS/ID,Recovered,newRecovered,Active,newActive
Maharashtra,India,200064,7074,8671,295,109150,3357,82243,3422,2020-07-05 03:00:00,140004402,108082,3395,83311,3384
Tamil Nadu,India,107001,4280,1450,65,60592,2214,44959,2001,2020-07-05 03:00:00,140001938,60592,2214,44959,2001
Delhi,India,97200,2505,3004,81,68256,2632,25940,-208,2020-07-05 03:00:00,140001944,68256,2632,25940,-208
Gujarat,India,35398,712,1926,21,25414,473,8058,218,2020-07-05 03:00:00,140001927,25414,473,8058,218
Uttar Pradesh,India,26554,757,773,24,18154,557,7627,176,2020-07-05 03:00:00,140001926,18154,557,7627,176
Rajasthan,India,19532,480,447,7,15640,359,3445,114,2020-07-05 03:00:00,140001929,15640,359,3445,114
West Bengal,India,21231,743,736,19,14166,595,6329,129,2020-07-05 03:00:00,140001940,14166,595,6329,129
Madhya Pradesh,India,14604,307,598,5,11234,185,2772,117,2020-07-05 03:00:00,140001931,11234,185,2772,117
Haryana,India,16548,545,260,5,12257,566,4031,-26,2020-07-05 03:00:00,140001933,12257,566,4031,-26
State Unassigned,India,4999,-1032,0,0,4999,-1032,0,0,2020-07-05 03:00:00,,0,0,4999,-1032
Karnataka,India,21549,1839,335,42,9246,439,11968,1358,2020-07-05 03:00:00,140004403,9246,439,11968,1358
Andhra Pradesh,India,17699,765,218,12,8008,376,9473,377,2020-07-05 03:00:00,140004401,8008,376,9473,377
Bihar,India,11457,346,88,4,8488,277,2881,65,2020-07-05 03:00:00,140001937,8488,277,2881,65
Telangana,India,22312,1850,288,5,11537,1342,10487,503,2020-07-05 03:00:00,140004405,11537,1342,10487,503
Assam,India,11002,1202,14,0,6744,416,4244,786,2020-07-05 03:00:00,140001939,6744,416,4244,786
Odisha,India,8601,495,43,6,5934,229,2624,260,2020-07-05 03:00:00,140001936,5934,229,2624,260
Punjab,India,6109,172,162,5,4306,40,1641,127,2020-07-05 03:00:00,140001934,4306,40,1641,127
Kerala,India,5205,240,26,0,3048,209,2131,31,2020-07-05 03:00:00,140001930,3048,209,2131,31
Uttarakhand,India,3093,45,42,0,2502,21,549,24,2020-07-05 03:00:00,140001932,2502,21,549,24
Chhattisgarh,India,3161,96,14,0,2526,112,621,-16,2020-07-05 03:00:00,140004404,2526,112,621,-16
Jharkhand,India,2739,42,18,3,2035,34,686,5,2020-07-05 03:00:00,140001943,2035,34,686,5
Tripura,India,1558,25,1,0,1199,0,358,25,2020-07-05 03:00:00,140001949,1199,0,358,25
